from_id,to_id
SMPLACCT-1101|202604,202604
SMPLACCT-1101|202605,202605
SMPLACCT-1101|202606,202606
SMPLACCT-1102|202604,202604
SMPLACCT-1102|202605,202605
SMPLACCT-1102|202606,202606
SMPLACCT-1103|202604,202604
SMPLACCT-1103|202605,202605
SMPLACCT-1103|202606,202606
SMPLACCT-1104|202604,202604
SMPLACCT-1104|202605,202605
SMPLACCT-1104|202606,202606
SMPLACCT-1105|202604,202604
SMPLACCT-1105|202605,202605
SMPLACCT-1105|202606,202606
SMPLACCT-1106|202604,202604
SMPLACCT-1106|202605,202605
SMPLACCT-1106|202606,202606
SMPLACCT-1107|202604,202604
SMPLACCT-1107|202605,202605
SMPLACCT-1107|202606,202606
SMPLACCT-1108|202604,202604
SMPLACCT-1108|202605,202605
SMPLACCT-1108|202606,202606
SMPLACCT-1109|202604,202604
SMPLACCT-1109|202605,202605
SMPLACCT-1109|202606,202606
SMPLACCT-2101|202604,202604
SMPLACCT-2101|202605,202605
SMPLACCT-2101|202606,202606
SMPLACCT-2102|202604,202604
SMPLACCT-2102|202605,202605
SMPLACCT-2102|202606,202606
SMPLACCT-2103|202604,202604
SMPLACCT-2103|202605,202605
SMPLACCT-2103|202606,202606
SMPLACCT-2104|202604,202604
SMPLACCT-2104|202605,202605
SMPLACCT-2104|202606,202606
SMPLACCT-2105|202604,202604
SMPLACCT-2105|202605,202605
SMPLACCT-2105|202606,202606
SMPLACCT-2106|202604,202604
SMPLACCT-2106|202605,202605
SMPLACCT-2106|202606,202606
SMPLACCT-2107|202604,202604
SMPLACCT-2107|202605,202605
SMPLACCT-2107|202606,202606
SMPLACCT-2108|202604,202604
SMPLACCT-2108|202605,202605
SMPLACCT-2108|202606,202606
SMPLACCT-2109|202604,202604
SMPLACCT-2109|202605,202605
SMPLACCT-2109|202606,202606
SMPLACCT-2110|202604,202604
SMPLACCT-2110|202605,202605
SMPLACCT-2110|202606,202606
SMPLACCT-3101|202604,202604
SMPLACCT-3101|202605,202605
SMPLACCT-3101|202606,202606
SMPLACCT-3102|202604,202604
SMPLACCT-3102|202605,202605
SMPLACCT-3102|202606,202606
SMPLACCT-3103|202604,202604
SMPLACCT-3103|202605,202605
SMPLACCT-3103|202606,202606
SMPLACCT-3104|202604,202604
SMPLACCT-3104|202605,202605
SMPLACCT-3104|202606,202606
SMPLACCT-3105|202604,202604
SMPLACCT-3105|202605,202605
SMPLACCT-3105|202606,202606
SMPLACCT-3106|202604,202604
SMPLACCT-3106|202605,202605
SMPLACCT-3106|202606,202606
SMPLACCT-3107|202604,202604
SMPLACCT-3107|202605,202605
SMPLACCT-3107|202606,202606
SMPLACCT-3108|202604,202604
SMPLACCT-3108|202605,202605
SMPLACCT-3108|202606,202606
SMPLACCT-3109|202604,202604
SMPLACCT-3109|202605,202605
SMPLACCT-3109|202606,202606
