from_id,to_id
SMPL001|202604|202605|advisory,202605
SMPL001|202604|202605|alternative_investments,202605
SMPL001|202604|202605|cash_management,202605
SMPL001|202604|202605|equities,202605
SMPL001|202604|202605|jpmcap,202605
SMPL001|202604|202605|mutual_fund_trails,202605
SMPL001|202604|202605|structured_products,202605
SMPL001|202604|202605|unified_managed_account,202605
SMPL001|202604|202605|__TOTAL__,202605
SMPL001|202605|202606|advisory,202606
SMPL001|202605|202606|alternative_investments,202606
SMPL001|202605|202606|cash_management,202606
SMPL001|202605|202606|equities,202606
SMPL001|202605|202606|jpmcap,202606
SMPL001|202605|202606|mutual_fund_trails,202606
SMPL001|202605|202606|structured_products,202606
SMPL001|202605|202606|unified_managed_account,202606
SMPL001|202605|202606|__TOTAL__,202606
SMPL002|202604|202605|advisory,202605
SMPL002|202604|202605|alternative_investments,202605
SMPL002|202604|202605|cash_management,202605
SMPL002|202604|202605|equities,202605
SMPL002|202604|202605|jpmcap,202605
SMPL002|202604|202605|mutual_fund_trails,202605
SMPL002|202604|202605|structured_products,202605
SMPL002|202604|202605|unified_managed_account,202605
SMPL002|202604|202605|__TOTAL__,202605
SMPL002|202605|202606|advisory,202606
SMPL002|202605|202606|alternative_investments,202606
SMPL002|202605|202606|cash_management,202606
SMPL002|202605|202606|equities,202606
SMPL002|202605|202606|jpmcap,202606
SMPL002|202605|202606|mutual_fund_trails,202606
SMPL002|202605|202606|structured_products,202606
SMPL002|202605|202606|unified_managed_account,202606
SMPL002|202605|202606|__TOTAL__,202606
SMPL003|202604|202605|advisory,202605
SMPL003|202604|202605|alternative_investments,202605
SMPL003|202604|202605|annuities,202605
SMPL003|202604|202605|cash_management,202605
SMPL003|202604|202605|equities,202605
SMPL003|202604|202605|jpmcap,202605
SMPL003|202604|202605|mutual_fund_trails,202605
SMPL003|202604|202605|structured_products,202605
SMPL003|202604|202605|unified_managed_account,202605
SMPL003|202604|202605|__TOTAL__,202605
SMPL003|202605|202606|advisory,202606
SMPL003|202605|202606|alternative_investments,202606
SMPL003|202605|202606|cash_management,202606
SMPL003|202605|202606|equities,202606
SMPL003|202605|202606|jpmcap,202606
SMPL003|202605|202606|mutual_fund_trails,202606
SMPL003|202605|202606|structured_products,202606
SMPL003|202605|202606|unified_managed_account,202606
SMPL003|202605|202606|__TOTAL__,202606
