from_id,to_id
v1|SMPL001|202604|202605,SMPL001|202604|202605|structured_products|ONE_TIME|1
v1|SMPL001|202604|202605,SMPL001|202604|202605|alternative_investments|TIMING|1
v1|SMPL001|202604|202605,SMPL001|202604|202605|unified_managed_account|LOST_ACCOUNT|1
v1|SMPL001|202604|202605,SMPL001|202604|202605|unified_managed_account|BILLABLE_DAYS|2
v1|SMPL001|202604|202605,SMPL001|202604|202605|equities|VOLUME|1
v1|SMPL001|202605|202606,SMPL001|202605|202606|structured_products|ONE_TIME|1
v1|SMPL001|202605|202606,SMPL001|202605|202606|alternative_investments|TIMING|1
v1|SMPL001|202605|202606,SMPL001|202605|202606|unified_managed_account|NEW_ACCOUNT|1
v1|SMPL001|202605|202606,SMPL001|202605|202606|unified_managed_account|BILLABLE_DAYS|2
v1|SMPL001|202605|202606,SMPL001|202605|202606|equities|VOLUME|1
v1|SMPL002|202604|202605,SMPL002|202604|202605|structured_products|ONE_TIME|1
v1|SMPL002|202604|202605,SMPL002|202604|202605|alternative_investments|TIMING|1
v1|SMPL002|202604|202605,SMPL002|202604|202605|unified_managed_account|LOST_ACCOUNT|1
v1|SMPL002|202604|202605,SMPL002|202604|202605|unified_managed_account|BILLABLE_DAYS|2
v1|SMPL002|202604|202605,SMPL002|202604|202605|equities|VOLUME|1
v1|SMPL002|202605|202606,SMPL002|202605|202606|structured_products|ONE_TIME|1
v1|SMPL002|202605|202606,SMPL002|202605|202606|alternative_investments|TIMING|1
v1|SMPL002|202605|202606,SMPL002|202605|202606|unified_managed_account|NEW_ACCOUNT|1
v1|SMPL002|202605|202606,SMPL002|202605|202606|unified_managed_account|FEE_RATE|2
v1|SMPL002|202605|202606,SMPL002|202605|202606|unified_managed_account|BILLABLE_DAYS|3
v1|SMPL003|202604|202605,SMPL003|202604|202605|structured_products|ONE_TIME|1
v1|SMPL003|202604|202605,SMPL003|202604|202605|alternative_investments|TIMING|1
v1|SMPL003|202604|202605,SMPL003|202604|202605|unified_managed_account|LOST_ACCOUNT|1
v1|SMPL003|202604|202605,SMPL003|202604|202605|annuities|LOST_ACCOUNT|1
v1|SMPL003|202604|202605,SMPL003|202604|202605|unified_managed_account|BILLABLE_DAYS|2
v1|SMPL003|202605|202606,SMPL003|202605|202606|structured_products|ONE_TIME|1
v1|SMPL003|202605|202606,SMPL003|202605|202606|alternative_investments|TIMING|1
