from_id,to_id
v1|SMPL001|202604|202605,SMPL001
v1|SMPL001|202605|202606,SMPL001
v1|SMPL002|202604|202605,SMPL002
v1|SMPL002|202605|202606,SMPL002
v1|SMPL003|202604|202605,SMPL003
v1|SMPL003|202605|202606,SMPL003
v2|SMPL001|202604|202605,SMPL001
v2|SMPL001|202605|202606,SMPL001
v2|SMPL002|202604|202605,SMPL002
v2|SMPL002|202605|202606,SMPL002
v2|SMPL003|202604|202605,SMPL003
v2|SMPL003|202605|202606,SMPL003
v3|SMPL001|202604|202605,SMPL001
v3|SMPL001|202605|202606,SMPL001
v3|SMPL002|202604|202605,SMPL002
v3|SMPL002|202605|202606,SMPL002
v3|SMPL003|202604|202605,SMPL003
v3|SMPL003|202605|202606,SMPL003
v4|SMPL001|202604|202605,SMPL001
v4|SMPL001|202605|202606,SMPL001
v4|SMPL002|202604|202605,SMPL002
v4|SMPL002|202605|202606,SMPL002
v4|SMPL003|202604|202605,SMPL003
v4|SMPL003|202605|202606,SMPL003
v5|SMPL001|202604|202605,SMPL001
v5|SMPL001|202605|202606,SMPL001
v5|SMPL002|202604|202605,SMPL002
v5|SMPL002|202605|202606,SMPL002
v5|SMPL003|202604|202605,SMPL003
v5|SMPL003|202605|202606,SMPL003
