from_id,to_id
v1|SMPL001|202604|202605,202605
v1|SMPL001|202605|202606,202606
v1|SMPL002|202604|202605,202605
v1|SMPL002|202605|202606,202606
v1|SMPL003|202604|202605,202605
v1|SMPL003|202605|202606,202606
v2|SMPL001|202604|202605,202605
v2|SMPL001|202605|202606,202606
v2|SMPL002|202604|202605,202605
v2|SMPL002|202605|202606,202606
v2|SMPL003|202604|202605,202605
v2|SMPL003|202605|202606,202606
v3|SMPL001|202604|202605,202605
v3|SMPL001|202605|202606,202606
v3|SMPL002|202604|202605,202605
v3|SMPL002|202605|202606,202606
v3|SMPL003|202604|202605,202605
v3|SMPL003|202605|202606,202606
v4|SMPL001|202604|202605,202605
v4|SMPL001|202605|202606,202606
v4|SMPL002|202604|202605,202605
v4|SMPL002|202605|202606,202606
v4|SMPL003|202604|202605,202605
v4|SMPL003|202605|202606,202606
v5|SMPL001|202604|202605,202605
v5|SMPL001|202605|202606,202606
v5|SMPL002|202604|202605,202605
v5|SMPL002|202605|202606,202606
v5|SMPL003|202604|202605,202605
v5|SMPL003|202605|202606,202606
v6|SMPL001|202604|202605,202605
v6|SMPL001|202605|202606,202606
v6|SMPL002|202604|202605,202605
v6|SMPL002|202605|202606,202606
v6|SMPL003|202604|202605,202605
v6|SMPL003|202605|202606,202606
v7|SMPL001|202604|202605,202605
v7|SMPL001|202605|202606,202606
v7|SMPL002|202604|202605,202605
v7|SMPL002|202605|202606,202606
v7|SMPL003|202604|202605,202605
v7|SMPL003|202605|202606,202606
