from_id,to_id
SMPL001|202604|202605|structured_products|ONE_TIME|1,structured_products
SMPL001|202604|202605|alternative_investments|TIMING|1,alternative_investments
SMPL001|202604|202605|unified_managed_account|LOST_ACCOUNT|1,unified_managed_account
SMPL001|202604|202605|unified_managed_account|BILLABLE_DAYS|2,unified_managed_account
SMPL001|202604|202605|equities|VOLUME|1,equities
SMPL001|202604|202605|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL001|202604|202605|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL001|202604|202605|advisory|BILLABLE_DAYS|1,advisory
SMPL001|202604|202605|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL001|202604|202605|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL001|202604|202605|equities|MIX|2,equities
SMPL001|202605|202606|structured_products|ONE_TIME|1,structured_products
SMPL001|202605|202606|alternative_investments|TIMING|1,alternative_investments
SMPL001|202605|202606|unified_managed_account|ELIGIBILITY|1,unified_managed_account
SMPL001|202605|202606|unified_managed_account|NEW_ACCOUNT|2,unified_managed_account
SMPL001|202605|202606|unified_managed_account|BILLABLE_DAYS|3,unified_managed_account
SMPL001|202605|202606|equities|VOLUME|1,equities
SMPL001|202605|202606|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL001|202605|202606|equities|MIX|2,equities
SMPL001|202605|202606|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL001|202605|202606|advisory|BILLABLE_DAYS|1,advisory
SMPL001|202605|202606|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL001|202605|202606|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL002|202604|202605|structured_products|ONE_TIME|1,structured_products
SMPL002|202604|202605|alternative_investments|TIMING|1,alternative_investments
SMPL002|202604|202605|unified_managed_account|LOST_ACCOUNT|1,unified_managed_account
SMPL002|202604|202605|unified_managed_account|BILLABLE_DAYS|2,unified_managed_account
SMPL002|202604|202605|equities|VOLUME|1,equities
SMPL002|202604|202605|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL002|202604|202605|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL002|202604|202605|advisory|BILLABLE_DAYS|1,advisory
SMPL002|202604|202605|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL002|202604|202605|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL002|202604|202605|equities|MIX|2,equities
SMPL002|202604|202605|unified_managed_account|MIX|3,unified_managed_account
SMPL002|202605|202606|structured_products|ONE_TIME|1,structured_products
SMPL002|202605|202606|alternative_investments|TIMING|1,alternative_investments
SMPL002|202605|202606|unified_managed_account|NEW_ACCOUNT|1,unified_managed_account
SMPL002|202605|202606|unified_managed_account|FEE_RATE|2,unified_managed_account
SMPL002|202605|202606|unified_managed_account|BILLABLE_DAYS|3,unified_managed_account
SMPL002|202605|202606|equities|VOLUME|1,equities
SMPL002|202605|202606|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL002|202605|202606|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL002|202605|202606|advisory|BILLABLE_DAYS|1,advisory
SMPL002|202605|202606|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL002|202605|202606|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL002|202605|202606|unified_managed_account|MIX|4,unified_managed_account
SMPL002|202605|202606|equities|MIX|2,equities
SMPL003|202604|202605|structured_products|ONE_TIME|1,structured_products
SMPL003|202604|202605|alternative_investments|TIMING|1,alternative_investments
SMPL003|202604|202605|unified_managed_account|LOST_ACCOUNT|1,unified_managed_account
SMPL003|202604|202605|annuities|LOST_ACCOUNT|1,annuities
SMPL003|202604|202605|unified_managed_account|BILLABLE_DAYS|2,unified_managed_account
SMPL003|202604|202605|equities|VOLUME|1,equities
SMPL003|202604|202605|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL003|202604|202605|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL003|202604|202605|advisory|BILLABLE_DAYS|1,advisory
SMPL003|202604|202605|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL003|202604|202605|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL003|202604|202605|equities|MIX|2,equities
SMPL003|202604|202605|unified_managed_account|MIX|3,unified_managed_account
SMPL003|202605|202606|structured_products|ONE_TIME|1,structured_products
SMPL003|202605|202606|alternative_investments|TIMING|1,alternative_investments
SMPL003|202605|202606|unified_managed_account|NEW_ACCOUNT|1,unified_managed_account
SMPL003|202605|202606|unified_managed_account|DISCOUNT|2,unified_managed_account
SMPL003|202605|202606|unified_managed_account|BILLABLE_DAYS|3,unified_managed_account
SMPL003|202605|202606|equities|VOLUME|1,equities
SMPL003|202605|202606|mutual_fund_trails|CLAWBACK|1,mutual_fund_trails
SMPL003|202605|202606|jpmcap|BILLABLE_DAYS|1,jpmcap
SMPL003|202605|202606|advisory|BILLABLE_DAYS|1,advisory
SMPL003|202605|202606|equities|MIX|2,equities
SMPL003|202605|202606|mutual_fund_trails|BILLABLE_DAYS|2,mutual_fund_trails
SMPL003|202605|202606|mutual_fund_trails|MIX|3,mutual_fund_trails
SMPL003|202605|202606|unified_managed_account|MIX|4,unified_managed_account
