from_id,to_id
SMPL001|202604|202605|structured_products|ONE_TIME|1,SMPL001|202604|202605|structured_products
SMPL001|202604|202605|alternative_investments|TIMING|1,SMPL001|202604|202605|alternative_investments
SMPL001|202604|202605|unified_managed_account|BASELINE_LIMITED|1,SMPL001|202604|202605|unified_managed_account
SMPL001|202604|202605|unified_managed_account|BILLABLE_DAYS|2,SMPL001|202604|202605|unified_managed_account
SMPL001|202604|202605|equities|VOLUME|1,SMPL001|202604|202605|equities
SMPL001|202604|202605|jpmcap|BILLABLE_DAYS|1,SMPL001|202604|202605|jpmcap
SMPL001|202604|202605|mutual_fund_trails|CLAWBACK|1,SMPL001|202604|202605|mutual_fund_trails
SMPL001|202604|202605|advisory|BILLABLE_DAYS|1,SMPL001|202604|202605|advisory
SMPL001|202604|202605|mutual_fund_trails|BILLABLE_DAYS|2,SMPL001|202604|202605|mutual_fund_trails
SMPL001|202604|202605|mutual_fund_trails|MIX|3,SMPL001|202604|202605|mutual_fund_trails
SMPL001|202604|202605|equities|MIX|2,SMPL001|202604|202605|equities
SMPL001|202604|202605|__TOTAL__|MARKET|1,SMPL001|202604|202605|__TOTAL__
SMPL001|202604|202605|__TOTAL__|NET_FLOW|2,SMPL001|202604|202605|__TOTAL__
SMPL001|202605|202606|structured_products|ONE_TIME|1,SMPL001|202605|202606|structured_products
SMPL001|202605|202606|alternative_investments|TIMING|1,SMPL001|202605|202606|alternative_investments
SMPL001|202605|202606|unified_managed_account|ELIGIBILITY|1,SMPL001|202605|202606|unified_managed_account
SMPL001|202605|202606|unified_managed_account|LOST_ACCOUNT|2,SMPL001|202605|202606|unified_managed_account
SMPL001|202605|202606|unified_managed_account|NEW_ACCOUNT|3,SMPL001|202605|202606|unified_managed_account
SMPL001|202605|202606|unified_managed_account|BILLABLE_DAYS|4,SMPL001|202605|202606|unified_managed_account
SMPL001|202605|202606|equities|VOLUME|1,SMPL001|202605|202606|equities
SMPL001|202605|202606|mutual_fund_trails|CLAWBACK|1,SMPL001|202605|202606|mutual_fund_trails
SMPL001|202605|202606|equities|MIX|2,SMPL001|202605|202606|equities
SMPL001|202605|202606|jpmcap|BILLABLE_DAYS|1,SMPL001|202605|202606|jpmcap
SMPL001|202605|202606|advisory|BILLABLE_DAYS|1,SMPL001|202605|202606|advisory
SMPL001|202605|202606|mutual_fund_trails|BILLABLE_DAYS|2,SMPL001|202605|202606|mutual_fund_trails
SMPL001|202605|202606|mutual_fund_trails|MIX|3,SMPL001|202605|202606|mutual_fund_trails
SMPL001|202605|202606|__TOTAL__|MARKET|1,SMPL001|202605|202606|__TOTAL__
SMPL001|202605|202606|__TOTAL__|NET_FLOW|2,SMPL001|202605|202606|__TOTAL__
SMPL002|202604|202605|structured_products|ONE_TIME|1,SMPL002|202604|202605|structured_products
SMPL002|202604|202605|alternative_investments|TIMING|1,SMPL002|202604|202605|alternative_investments
SMPL002|202604|202605|unified_managed_account|MIX|1,SMPL002|202604|202605|unified_managed_account
SMPL002|202604|202605|unified_managed_account|BILLABLE_DAYS|2,SMPL002|202604|202605|unified_managed_account
SMPL002|202604|202605|equities|VOLUME|1,SMPL002|202604|202605|equities
SMPL002|202604|202605|mutual_fund_trails|CLAWBACK|1,SMPL002|202604|202605|mutual_fund_trails
SMPL002|202604|202605|jpmcap|BILLABLE_DAYS|1,SMPL002|202604|202605|jpmcap
SMPL002|202604|202605|advisory|BILLABLE_DAYS|1,SMPL002|202604|202605|advisory
SMPL002|202604|202605|mutual_fund_trails|BILLABLE_DAYS|2,SMPL002|202604|202605|mutual_fund_trails
SMPL002|202604|202605|mutual_fund_trails|MIX|3,SMPL002|202604|202605|mutual_fund_trails
SMPL002|202604|202605|equities|MIX|2,SMPL002|202604|202605|equities
SMPL002|202604|202605|__TOTAL__|MARKET|1,SMPL002|202604|202605|__TOTAL__
SMPL002|202604|202605|__TOTAL__|NET_FLOW|2,SMPL002|202604|202605|__TOTAL__
SMPL002|202605|202606|structured_products|ONE_TIME|1,SMPL002|202605|202606|structured_products
SMPL002|202605|202606|alternative_investments|TIMING|1,SMPL002|202605|202606|alternative_investments
SMPL002|202605|202606|unified_managed_account|LOST_ACCOUNT|1,SMPL002|202605|202606|unified_managed_account
SMPL002|202605|202606|unified_managed_account|NEW_ACCOUNT|2,SMPL002|202605|202606|unified_managed_account
SMPL002|202605|202606|unified_managed_account|FEE_RATE|3,SMPL002|202605|202606|unified_managed_account
SMPL002|202605|202606|unified_managed_account|BILLABLE_DAYS|4,SMPL002|202605|202606|unified_managed_account
SMPL002|202605|202606|equities|VOLUME|1,SMPL002|202605|202606|equities
SMPL002|202605|202606|mutual_fund_trails|CLAWBACK|1,SMPL002|202605|202606|mutual_fund_trails
SMPL002|202605|202606|jpmcap|BILLABLE_DAYS|1,SMPL002|202605|202606|jpmcap
SMPL002|202605|202606|advisory|BILLABLE_DAYS|1,SMPL002|202605|202606|advisory
SMPL002|202605|202606|mutual_fund_trails|BILLABLE_DAYS|2,SMPL002|202605|202606|mutual_fund_trails
SMPL002|202605|202606|mutual_fund_trails|MIX|3,SMPL002|202605|202606|mutual_fund_trails
SMPL002|202605|202606|unified_managed_account|MIX|5,SMPL002|202605|202606|unified_managed_account
SMPL002|202605|202606|equities|MIX|2,SMPL002|202605|202606|equities
SMPL002|202605|202606|__TOTAL__|MARKET|1,SMPL002|202605|202606|__TOTAL__
SMPL002|202605|202606|__TOTAL__|NET_FLOW|2,SMPL002|202605|202606|__TOTAL__
SMPL003|202604|202605|structured_products|ONE_TIME|1,SMPL003|202604|202605|structured_products
SMPL003|202604|202605|alternative_investments|TIMING|1,SMPL003|202604|202605|alternative_investments
SMPL003|202604|202605|annuities|ONE_TIME|1,SMPL003|202604|202605|annuities
SMPL003|202604|202605|unified_managed_account|BASELINE_LIMITED|1,SMPL003|202604|202605|unified_managed_account
SMPL003|202604|202605|unified_managed_account|BILLABLE_DAYS|2,SMPL003|202604|202605|unified_managed_account
SMPL003|202604|202605|unified_managed_account|LATE_PROCESSING|3,SMPL003|202604|202605|unified_managed_account
SMPL003|202604|202605|mutual_fund_trails|EXCLUDED_CHANGE|1,SMPL003|202604|202605|mutual_fund_trails
SMPL003|202604|202605|equities|VOLUME|1,SMPL003|202604|202605|equities
SMPL003|202604|202605|mutual_fund_trails|CLAWBACK|2,SMPL003|202604|202605|mutual_fund_trails
SMPL003|202604|202605|jpmcap|BILLABLE_DAYS|1,SMPL003|202604|202605|jpmcap
SMPL003|202604|202605|advisory|BILLABLE_DAYS|1,SMPL003|202604|202605|advisory
