from_id,to_id
v7|SMPL001|202604|202605|j1,v7|SMPL001|202604|202605
v7|SMPL001|202605|202606|j1,v7|SMPL001|202605|202606
v7|SMPL002|202604|202605|j1,v7|SMPL002|202604|202605
v7|SMPL002|202605|202606|j1,v7|SMPL002|202605|202606
v7|SMPL003|202604|202605|j1,v7|SMPL003|202604|202605
v7|SMPL003|202605|202606|j1,v7|SMPL003|202605|202606
v8|SMPL001|202604|202605|j1,v8|SMPL001|202604|202605
v8|SMPL001|202605|202606|j1,v8|SMPL001|202605|202606
v8|SMPL002|202604|202605|j1,v8|SMPL002|202604|202605
v8|SMPL002|202605|202606|j1,v8|SMPL002|202605|202606
v8|SMPL003|202604|202605|j1,v8|SMPL003|202604|202605
v8|SMPL003|202605|202606|j1,v8|SMPL003|202605|202606
v9|SMPL001|202604|202605|j1,v9|SMPL001|202604|202605
v9|SMPL001|202605|202606|j1,v9|SMPL001|202605|202606
v9|SMPL002|202604|202605|j1,v9|SMPL002|202604|202605
v9|SMPL002|202605|202606|j1,v9|SMPL002|202605|202606
v9|SMPL003|202604|202605|j1,v9|SMPL003|202604|202605
v9|SMPL003|202605|202606|j1,v9|SMPL003|202605|202606
