from_id,to_id
SMPL001|202604|advisory,SMPL001
SMPL001|202604|alternative_investments,SMPL001
SMPL001|202604|cash_management,SMPL001
SMPL001|202604|equities,SMPL001
SMPL001|202604|jpmcap,SMPL001
SMPL001|202604|mutual_fund_trails,SMPL001
SMPL001|202604|unified_managed_account,SMPL001
SMPL001|202605|advisory,SMPL001
SMPL001|202605|cash_management,SMPL001
SMPL001|202605|equities,SMPL001
SMPL001|202605|jpmcap,SMPL001
SMPL001|202605|mutual_fund_trails,SMPL001
SMPL001|202605|structured_products,SMPL001
SMPL001|202605|unified_managed_account,SMPL001
SMPL001|202606|advisory,SMPL001
SMPL001|202606|alternative_investments,SMPL001
SMPL001|202606|cash_management,SMPL001
SMPL001|202606|equities,SMPL001
SMPL001|202606|jpmcap,SMPL001
SMPL001|202606|mutual_fund_trails,SMPL001
SMPL001|202606|unified_managed_account,SMPL001
SMPL002|202604|advisory,SMPL002
SMPL002|202604|alternative_investments,SMPL002
SMPL002|202604|cash_management,SMPL002
SMPL002|202604|equities,SMPL002
SMPL002|202604|jpmcap,SMPL002
SMPL002|202604|mutual_fund_trails,SMPL002
SMPL002|202604|unified_managed_account,SMPL002
SMPL002|202605|advisory,SMPL002
SMPL002|202605|cash_management,SMPL002
SMPL002|202605|equities,SMPL002
SMPL002|202605|jpmcap,SMPL002
SMPL002|202605|mutual_fund_trails,SMPL002
SMPL002|202605|structured_products,SMPL002
SMPL002|202605|unified_managed_account,SMPL002
SMPL002|202606|advisory,SMPL002
SMPL002|202606|alternative_investments,SMPL002
SMPL002|202606|cash_management,SMPL002
SMPL002|202606|equities,SMPL002
SMPL002|202606|jpmcap,SMPL002
SMPL002|202606|mutual_fund_trails,SMPL002
SMPL002|202606|unified_managed_account,SMPL002
SMPL003|202604|advisory,SMPL003
SMPL003|202604|alternative_investments,SMPL003
SMPL003|202604|annuities,SMPL003
SMPL003|202604|cash_management,SMPL003
SMPL003|202604|equities,SMPL003
SMPL003|202604|jpmcap,SMPL003
SMPL003|202604|mutual_fund_trails,SMPL003
SMPL003|202604|unified_managed_account,SMPL003
SMPL003|202605|advisory,SMPL003
SMPL003|202605|cash_management,SMPL003
SMPL003|202605|equities,SMPL003
SMPL003|202605|jpmcap,SMPL003
SMPL003|202605|mutual_fund_trails,SMPL003
SMPL003|202605|structured_products,SMPL003
SMPL003|202605|unified_managed_account,SMPL003
SMPL003|202606|advisory,SMPL003
SMPL003|202606|alternative_investments,SMPL003
SMPL003|202606|cash_management,SMPL003
SMPL003|202606|equities,SMPL003
SMPL003|202606|jpmcap,SMPL003
SMPL003|202606|mutual_fund_trails,SMPL003
SMPL003|202606|unified_managed_account,SMPL003
