from_id,to_id
SMPL001|202604|advisory,202604
SMPL001|202604|alternative_investments,202604
SMPL001|202604|cash_management,202604
SMPL001|202604|equities,202604
SMPL001|202604|jpmcap,202604
SMPL001|202604|mutual_fund_trails,202604
SMPL001|202604|unified_managed_account,202604
SMPL001|202605|advisory,202605
SMPL001|202605|cash_management,202605
SMPL001|202605|equities,202605
SMPL001|202605|jpmcap,202605
SMPL001|202605|mutual_fund_trails,202605
SMPL001|202605|structured_products,202605
SMPL001|202605|unified_managed_account,202605
SMPL001|202606|advisory,202606
SMPL001|202606|alternative_investments,202606
SMPL001|202606|cash_management,202606
SMPL001|202606|equities,202606
SMPL001|202606|jpmcap,202606
SMPL001|202606|mutual_fund_trails,202606
SMPL001|202606|unified_managed_account,202606
SMPL002|202604|advisory,202604
SMPL002|202604|alternative_investments,202604
SMPL002|202604|cash_management,202604
SMPL002|202604|equities,202604
SMPL002|202604|jpmcap,202604
SMPL002|202604|mutual_fund_trails,202604
SMPL002|202604|unified_managed_account,202604
SMPL002|202605|advisory,202605
SMPL002|202605|cash_management,202605
SMPL002|202605|equities,202605
SMPL002|202605|jpmcap,202605
SMPL002|202605|mutual_fund_trails,202605
SMPL002|202605|structured_products,202605
SMPL002|202605|unified_managed_account,202605
SMPL002|202606|advisory,202606
SMPL002|202606|alternative_investments,202606
SMPL002|202606|cash_management,202606
SMPL002|202606|equities,202606
SMPL002|202606|jpmcap,202606
SMPL002|202606|mutual_fund_trails,202606
SMPL002|202606|unified_managed_account,202606
SMPL003|202604|advisory,202604
SMPL003|202604|alternative_investments,202604
SMPL003|202604|annuities,202604
SMPL003|202604|cash_management,202604
SMPL003|202604|equities,202604
SMPL003|202604|jpmcap,202604
SMPL003|202604|mutual_fund_trails,202604
SMPL003|202604|unified_managed_account,202604
SMPL003|202605|advisory,202605
SMPL003|202605|cash_management,202605
SMPL003|202605|equities,202605
SMPL003|202605|jpmcap,202605
SMPL003|202605|mutual_fund_trails,202605
SMPL003|202605|structured_products,202605
SMPL003|202605|unified_managed_account,202605
SMPL003|202606|advisory,202606
SMPL003|202606|alternative_investments,202606
SMPL003|202606|cash_management,202606
SMPL003|202606|equities,202606
SMPL003|202606|jpmcap,202606
SMPL003|202606|mutual_fund_trails,202606
SMPL003|202606|unified_managed_account,202606
