from_id,to_id
scan001|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001|202604|202605|structured_products|ONE_TIME|1
scan001|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001|202605|202606|structured_products|ONE_TIME|1
scan001|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,SMPL001|202605|202606|unified_managed_account|BASELINE_LIMITED|2
scan001|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002|202604|202605|structured_products|ONE_TIME|1
scan001|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002|202605|202606|structured_products|ONE_TIME|1
scan001|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,SMPL002|202605|202606|unified_managed_account|BASELINE_LIMITED|1
scan001|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003|202604|202605|structured_products|ONE_TIME|1
scan001|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003|202605|202606|structured_products|ONE_TIME|1
scan001|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,SMPL003|202605|202606|unified_managed_account|BASELINE_LIMITED|1
scan002|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001|202604|202605|structured_products|ONE_TIME|1
scan002|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001|202605|202606|structured_products|ONE_TIME|1
scan002|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,SMPL001|202605|202606|unified_managed_account|BASELINE_LIMITED|2
scan002|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002|202604|202605|structured_products|ONE_TIME|1
scan002|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002|202605|202606|structured_products|ONE_TIME|1
scan002|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,SMPL002|202605|202606|unified_managed_account|BASELINE_LIMITED|1
scan002|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003|202604|202605|structured_products|ONE_TIME|1
scan002|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003|202605|202606|structured_products|ONE_TIME|1
scan002|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,SMPL003|202605|202606|unified_managed_account|BASELINE_LIMITED|1
scan003|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1
scan003|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1
scan003|SMPL001|202606|202607|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001|202606|202607|nonrec_structured_products__structured_products|ONE_TIME|1
scan003|SMPL001|202606|202607|BASELINE_LIMITED_PRESENT,SMPL001|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1
scan003|SMPL001|202606|202607|FEE_RATE_SHIFT|rec_cash_management__money_market_funds,SMPL001|202606|202607|rec_cash_management__money_market_funds|FEE_RATE|1
scan004|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL002|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1
scan004|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL002|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1
scan004|SMPL002|202606|202607|UNEXPLAINED_RESIDUAL,SMPL002|202606|202607|rec_managed__unified_managed_account|MIX|2
scan004|SMPL002|202606|202607|UNEXPLAINED_RESIDUAL,SMPL002|202606|202607|nonrec_equities_and_options__equities|MIX|3
scan004|SMPL002|202606|202607|BASELINE_LIMITED_PRESENT,SMPL002|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1
scan005|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL003|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1
scan005|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL003|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1
scan005|SMPL003|202606|202607|CLAWBACK_CONCENTRATION,SMPL003|202606|202607|rec_trails__annuities|CLAWBACK|1
scan005|SMPL003|202606|202607|BASELINE_LIMITED_PRESENT,SMPL003|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1
