from_id,to_id
scan001|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001
scan001|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001
scan001|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,SMPL001
scan001|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002
scan001|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002
scan001|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,SMPL002
scan001|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003
scan001|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003
scan001|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,SMPL003
scan002|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001
scan002|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL001
scan002|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,SMPL001
scan002|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002
scan002|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL002
scan002|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,SMPL002
scan002|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003
scan002|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,SMPL003
scan002|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,SMPL003
scan003|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001
scan003|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001
scan003|SMPL001|202606|202607|LARGE_SWING,SMPL001
scan003|SMPL001|202606|202607|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL001
scan003|SMPL001|202606|202607|BASELINE_LIMITED_PRESENT,SMPL001
scan003|SMPL001|202606|202607|FEE_RATE_SHIFT|rec_cash_management__money_market_funds,SMPL001
scan004|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL002
scan004|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL002
scan004|SMPL002|202606|202607|UNEXPLAINED_RESIDUAL,SMPL002
scan004|SMPL002|202606|202607|BASELINE_LIMITED_PRESENT,SMPL002
scan005|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL003
scan005|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|nonrec_structured_products__structured_products,SMPL003
scan005|SMPL003|202606|202607|CLAWBACK_CONCENTRATION,SMPL003
scan005|SMPL003|202606|202607|BASELINE_LIMITED_PRESENT,SMPL003
