from_id,to_id
scan001|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,scan001
scan001|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,scan001
scan001|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan001
scan001|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,scan001
scan002|SMPL001|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL001|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL001|202605|202606|BASELINE_LIMITED_PRESENT,scan002
scan002|SMPL002|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL002|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL002|202605|202606|BASELINE_LIMITED_PRESENT,scan002
scan002|SMPL003|202604|202605|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL003|202605|202606|SINGLE_DRIVER_DOMINANCE|structured_products,scan002
scan002|SMPL003|202605|202606|BASELINE_LIMITED_PRESENT,scan002
