from_id,to_id
SMPL001|202604|202605|nonrec_cash_management__brokered_cds,202605
SMPL001|202604|202605|nonrec_equities_and_options__equities,202605
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds,202605
SMPL001|202604|202605|nonrec_structured_products__structured_products,202605
SMPL001|202604|202605|rec_cash_management__money_market_funds,202605
SMPL001|202604|202605|rec_managed__advisory,202605
SMPL001|202604|202605|rec_managed__jpmcap,202605
SMPL001|202604|202605|rec_managed__unified_managed_account,202605
SMPL001|202604|202605|rec_trails__annuities,202605
SMPL001|202604|202605|rec_trails__mac,202605
SMPL001|202604|202605|rec_trails__mutual_funds,202605
SMPL001|202604|202605|__TOTAL__,202605
SMPL001|202605|202606|nonrec_cash_management__brokered_cds,202606
SMPL001|202605|202606|nonrec_equities_and_options__equities,202606
SMPL001|202605|202606|nonrec_mutual_funds__mutual_funds,202606
SMPL001|202605|202606|nonrec_structured_products__structured_products,202606
SMPL001|202605|202606|rec_cash_management__money_market_funds,202606
SMPL001|202605|202606|rec_managed__advisory,202606
SMPL001|202605|202606|rec_managed__jpmcap,202606
SMPL001|202605|202606|rec_managed__unified_managed_account,202606
SMPL001|202605|202606|rec_trails__annuities,202606
SMPL001|202605|202606|rec_trails__mac,202606
SMPL001|202605|202606|rec_trails__mutual_funds,202606
SMPL001|202605|202606|__TOTAL__,202606
SMPL001|202606|202607|nonrec_cash_management__brokered_cds,202607
SMPL001|202606|202607|nonrec_equities_and_options__equities,202607
SMPL001|202606|202607|nonrec_mutual_funds__mutual_funds,202607
SMPL001|202606|202607|nonrec_structured_products__structured_products,202607
SMPL001|202606|202607|rec_cash_management__money_market_funds,202607
SMPL001|202606|202607|rec_managed__advisory,202607
SMPL001|202606|202607|rec_managed__jpmcap,202607
SMPL001|202606|202607|rec_managed__unified_managed_account,202607
SMPL001|202606|202607|rec_trails__annuities,202607
SMPL001|202606|202607|rec_trails__mac,202607
SMPL001|202606|202607|rec_trails__mutual_funds,202607
SMPL001|202606|202607|__TOTAL__,202607
SMPL002|202604|202605|nonrec_cash_management__brokered_cds,202605
SMPL002|202604|202605|nonrec_equities_and_options__equities,202605
SMPL002|202604|202605|nonrec_mutual_funds__mutual_funds,202605
SMPL002|202604|202605|nonrec_structured_products__structured_products,202605
SMPL002|202604|202605|rec_cash_management__money_market_funds,202605
SMPL002|202604|202605|rec_managed__advisory,202605
SMPL002|202604|202605|rec_managed__jpmcap,202605
SMPL002|202604|202605|rec_managed__unified_managed_account,202605
SMPL002|202604|202605|rec_trails__annuities,202605
SMPL002|202604|202605|rec_trails__mac,202605
SMPL002|202604|202605|rec_trails__mutual_funds,202605
SMPL002|202604|202605|__TOTAL__,202605
SMPL002|202605|202606|nonrec_cash_management__brokered_cds,202606
SMPL002|202605|202606|nonrec_equities_and_options__equities,202606
SMPL002|202605|202606|nonrec_mutual_funds__mutual_funds,202606
SMPL002|202605|202606|nonrec_structured_products__structured_products,202606
SMPL002|202605|202606|rec_cash_management__money_market_funds,202606
SMPL002|202605|202606|rec_managed__advisory,202606
SMPL002|202605|202606|rec_managed__jpmcap,202606
SMPL002|202605|202606|rec_managed__unified_managed_account,202606
SMPL002|202605|202606|rec_trails__annuities,202606
SMPL002|202605|202606|rec_trails__mac,202606
SMPL002|202605|202606|rec_trails__mutual_funds,202606
SMPL002|202605|202606|__TOTAL__,202606
SMPL002|202606|202607|nonrec_cash_management__brokered_cds,202607
SMPL002|202606|202607|nonrec_equities_and_options__equities,202607
SMPL002|202606|202607|nonrec_mutual_funds__mutual_funds,202607
SMPL002|202606|202607|rec_cash_management__money_market_funds,202607
SMPL002|202606|202607|rec_managed__advisory,202607
SMPL002|202606|202607|rec_managed__jpmcap,202607
SMPL002|202606|202607|rec_managed__unified_managed_account,202607
SMPL002|202606|202607|rec_trails__annuities,202607
SMPL002|202606|202607|rec_trails__mac,202607
SMPL002|202606|202607|rec_trails__mutual_funds,202607
SMPL002|202606|202607|__TOTAL__,202607
SMPL003|202604|202605|nonrec_annuities__variable,202605
SMPL003|202604|202605|nonrec_cash_management__brokered_cds,202605
SMPL003|202604|202605|nonrec_equities_and_options__equities,202605
SMPL003|202604|202605|nonrec_mutual_funds__mutual_funds,202605
SMPL003|202604|202605|nonrec_structured_products__structured_products,202605
SMPL003|202604|202605|rec_cash_management__money_market_funds,202605
SMPL003|202604|202605|rec_managed__advisory,202605
SMPL003|202604|202605|rec_managed__jpmcap,202605
SMPL003|202604|202605|rec_managed__unified_managed_account,202605
SMPL003|202604|202605|rec_trails__annuities,202605
SMPL003|202604|202605|rec_trails__mac,202605
SMPL003|202604|202605|rec_trails__mutual_funds,202605
SMPL003|202604|202605|__TOTAL__,202605
SMPL003|202605|202606|nonrec_cash_management__brokered_cds,202606
SMPL003|202605|202606|nonrec_equities_and_options__equities,202606
SMPL003|202605|202606|nonrec_mutual_funds__mutual_funds,202606
SMPL003|202605|202606|nonrec_structured_products__structured_products,202606
SMPL003|202605|202606|rec_cash_management__money_market_funds,202606
SMPL003|202605|202606|rec_managed__advisory,202606
SMPL003|202605|202606|rec_managed__jpmcap,202606
SMPL003|202605|202606|rec_managed__unified_managed_account,202606
SMPL003|202605|202606|rec_trails__annuities,202606
SMPL003|202605|202606|rec_trails__mac,202606
SMPL003|202605|202606|rec_trails__mutual_funds,202606
SMPL003|202605|202606|__TOTAL__,202606
SMPL003|202606|202607|nonrec_cash_management__brokered_cds,202607
SMPL003|202606|202607|nonrec_equities_and_options__equities,202607
SMPL003|202606|202607|nonrec_mutual_funds__mutual_funds,202607
SMPL003|202606|202607|rec_cash_management__money_market_funds,202607
SMPL003|202606|202607|rec_managed__advisory,202607
SMPL003|202606|202607|rec_managed__jpmcap,202607
SMPL003|202606|202607|rec_managed__unified_managed_account,202607
SMPL003|202606|202607|rec_trails__annuities,202607
SMPL003|202606|202607|rec_trails__mac,202607
SMPL003|202606|202607|rec_trails__mutual_funds,202607
SMPL003|202606|202607|__TOTAL__,202607
