from_id,to_id
v1|SMPL001|202604|202605,SMPL001
v1|SMPL001|202605|202606,SMPL001
v1|SMPL002|202604|202605,SMPL002
v1|SMPL002|202605|202606,SMPL002
v1|SMPL003|202604|202605,SMPL003
v1|SMPL003|202605|202606,SMPL003
v2|SMPL001|202604|202605,SMPL001
v2|SMPL001|202605|202606,SMPL001
v2|SMPL002|202604|202605,SMPL002
v2|SMPL002|202605|202606,SMPL002
v2|SMPL003|202604|202605,SMPL003
v2|SMPL003|202605|202606,SMPL003
v3|SMPL001|202604|202605,SMPL001
v3|SMPL001|202605|202606,SMPL001
v3|SMPL002|202604|202605,SMPL002
v3|SMPL002|202605|202606,SMPL002
v3|SMPL003|202604|202605,SMPL003
v3|SMPL003|202605|202606,SMPL003
v4|SMPL001|202604|202605,SMPL001
v4|SMPL001|202605|202606,SMPL001
v4|SMPL002|202604|202605,SMPL002
v4|SMPL002|202605|202606,SMPL002
v4|SMPL003|202604|202605,SMPL003
v4|SMPL003|202605|202606,SMPL003
v5|SMPL001|202604|202605,SMPL001
v5|SMPL001|202605|202606,SMPL001
v5|SMPL002|202604|202605,SMPL002
v5|SMPL002|202605|202606,SMPL002
v5|SMPL003|202604|202605,SMPL003
v5|SMPL003|202605|202606,SMPL003
v6|SMPL001|202604|202605,SMPL001
v6|SMPL001|202605|202606,SMPL001
v6|SMPL002|202604|202605,SMPL002
v6|SMPL002|202605|202606,SMPL002
v6|SMPL003|202604|202605,SMPL003
v6|SMPL003|202605|202606,SMPL003
v7|SMPL001|202604|202605,SMPL001
v7|SMPL001|202605|202606,SMPL001
v7|SMPL002|202604|202605,SMPL002
v7|SMPL002|202605|202606,SMPL002
v7|SMPL003|202604|202605,SMPL003
v7|SMPL003|202605|202606,SMPL003
v8|SMPL001|202604|202605,SMPL001
v8|SMPL001|202605|202606,SMPL001
v8|SMPL002|202604|202605,SMPL002
v8|SMPL002|202605|202606,SMPL002
v8|SMPL003|202604|202605,SMPL003
v8|SMPL003|202605|202606,SMPL003
v9|SMPL001|202604|202605,SMPL001
v9|SMPL001|202605|202606,SMPL001
v9|SMPL002|202604|202605,SMPL002
v9|SMPL002|202605|202606,SMPL002
v9|SMPL003|202604|202605,SMPL003
v9|SMPL003|202605|202606,SMPL003
v10|SMPL001|202604|202605,SMPL001
v10|SMPL001|202605|202606,SMPL001
v10|SMPL002|202604|202605,SMPL002
v10|SMPL002|202605|202606,SMPL002
v10|SMPL003|202604|202605,SMPL003
v10|SMPL003|202605|202606,SMPL003
v11|SMPL001|202604|202605,SMPL001
v11|SMPL001|202605|202606,SMPL001
v11|SMPL002|202604|202605,SMPL002
v11|SMPL002|202605|202606,SMPL002
v11|SMPL003|202604|202605,SMPL003
v11|SMPL003|202605|202606,SMPL003
v12|SMPL001|202604|202605,SMPL001
v12|SMPL001|202605|202606,SMPL001
v12|SMPL002|202604|202605,SMPL002
v12|SMPL002|202605|202606,SMPL002
v12|SMPL003|202604|202605,SMPL003
v12|SMPL003|202605|202606,SMPL003
v13|SMPL001|202604|202605,SMPL001
v13|SMPL001|202605|202606,SMPL001
v13|SMPL002|202604|202605,SMPL002
v13|SMPL002|202605|202606,SMPL002
v13|SMPL003|202604|202605,SMPL003
v13|SMPL003|202605|202606,SMPL003
v14|SMPL001|202604|202605,SMPL001
v14|SMPL001|202605|202606,SMPL001
v14|SMPL002|202604|202605,SMPL002
v14|SMPL002|202605|202606,SMPL002
v14|SMPL003|202604|202605,SMPL003
v14|SMPL003|202605|202606,SMPL003
v15|SMPL001|202604|202605,SMPL001
v15|SMPL001|202605|202606,SMPL001
v15|SMPL002|202604|202605,SMPL002
v15|SMPL002|202605|202606,SMPL002
v15|SMPL003|202604|202605,SMPL003
v15|SMPL003|202605|202606,SMPL003
v16|SMPL001|202604|202605,SMPL001
v16|SMPL001|202605|202606,SMPL001
v16|SMPL002|202604|202605,SMPL002
v16|SMPL002|202605|202606,SMPL002
v16|SMPL003|202604|202605,SMPL003
v16|SMPL003|202605|202606,SMPL003
v17|SMPL001|202604|202605,SMPL001
v17|SMPL001|202605|202606,SMPL001
v17|SMPL002|202604|202605,SMPL002
v17|SMPL002|202605|202606,SMPL002
v17|SMPL003|202604|202605,SMPL003
v17|SMPL003|202605|202606,SMPL003
v18|SMPL001|202604|202605,SMPL001
v18|SMPL001|202605|202606,SMPL001
v18|SMPL002|202604|202605,SMPL002
v18|SMPL002|202605|202606,SMPL002
v18|SMPL003|202604|202605,SMPL003
v18|SMPL003|202605|202606,SMPL003
v19|SMPL001|202604|202605,SMPL001
v19|SMPL001|202605|202606,SMPL001
v19|SMPL002|202604|202605,SMPL002
v19|SMPL002|202605|202606,SMPL002
