from_id,to_id
v1|SMPL001|202604|202605,202604
v1|SMPL001|202605|202606,202605
v1|SMPL002|202604|202605,202604
v1|SMPL002|202605|202606,202605
v1|SMPL003|202604|202605,202604
v1|SMPL003|202605|202606,202605
v2|SMPL001|202604|202605,202604
v2|SMPL001|202605|202606,202605
v2|SMPL002|202604|202605,202604
v2|SMPL002|202605|202606,202605
v2|SMPL003|202604|202605,202604
v2|SMPL003|202605|202606,202605
v3|SMPL001|202604|202605,202604
v3|SMPL001|202605|202606,202605
v3|SMPL002|202604|202605,202604
v3|SMPL002|202605|202606,202605
v3|SMPL003|202604|202605,202604
v3|SMPL003|202605|202606,202605
v4|SMPL001|202604|202605,202604
v4|SMPL001|202605|202606,202605
v4|SMPL002|202604|202605,202604
v4|SMPL002|202605|202606,202605
v4|SMPL003|202604|202605,202604
v4|SMPL003|202605|202606,202605
v5|SMPL001|202604|202605,202604
v5|SMPL001|202605|202606,202605
v5|SMPL002|202604|202605,202604
v5|SMPL002|202605|202606,202605
v5|SMPL003|202604|202605,202604
v5|SMPL003|202605|202606,202605
v6|SMPL001|202604|202605,202604
v6|SMPL001|202605|202606,202605
v6|SMPL002|202604|202605,202604
v6|SMPL002|202605|202606,202605
v6|SMPL003|202604|202605,202604
v6|SMPL003|202605|202606,202605
v7|SMPL001|202604|202605,202604
v7|SMPL001|202605|202606,202605
v7|SMPL002|202604|202605,202604
v7|SMPL002|202605|202606,202605
v7|SMPL003|202604|202605,202604
v7|SMPL003|202605|202606,202605
v8|SMPL001|202604|202605,202604
v8|SMPL001|202605|202606,202605
v8|SMPL002|202604|202605,202604
v8|SMPL002|202605|202606,202605
v8|SMPL003|202604|202605,202604
v8|SMPL003|202605|202606,202605
v9|SMPL001|202604|202605,202604
v9|SMPL001|202605|202606,202605
v9|SMPL002|202604|202605,202604
v9|SMPL002|202605|202606,202605
v9|SMPL003|202604|202605,202604
v9|SMPL003|202605|202606,202605
v10|SMPL001|202604|202605,202604
v10|SMPL001|202605|202606,202605
v10|SMPL002|202604|202605,202604
v10|SMPL002|202605|202606,202605
v10|SMPL003|202604|202605,202604
v10|SMPL003|202605|202606,202605
v11|SMPL001|202604|202605,202604
v11|SMPL001|202605|202606,202605
v11|SMPL002|202604|202605,202604
v11|SMPL002|202605|202606,202605
v11|SMPL003|202604|202605,202604
v11|SMPL003|202605|202606,202605
v12|SMPL001|202604|202605,202604
v12|SMPL001|202605|202606,202605
v12|SMPL002|202604|202605,202604
v12|SMPL002|202605|202606,202605
v12|SMPL003|202604|202605,202604
v12|SMPL003|202605|202606,202605
v13|SMPL001|202604|202605,202604
v13|SMPL001|202605|202606,202605
v13|SMPL002|202604|202605,202604
v13|SMPL002|202605|202606,202605
v13|SMPL003|202604|202605,202604
v13|SMPL003|202605|202606,202605
v14|SMPL001|202604|202605,202604
v14|SMPL001|202605|202606,202605
v14|SMPL002|202604|202605,202604
v14|SMPL002|202605|202606,202605
v14|SMPL003|202604|202605,202604
v14|SMPL003|202605|202606,202605
v15|SMPL001|202604|202605,202604
v15|SMPL001|202605|202606,202605
v15|SMPL002|202604|202605,202604
v15|SMPL002|202605|202606,202605
v15|SMPL003|202604|202605,202604
v15|SMPL003|202605|202606,202605
v16|SMPL001|202604|202605,202604
v16|SMPL001|202605|202606,202605
v16|SMPL002|202604|202605,202604
v16|SMPL002|202605|202606,202605
v16|SMPL003|202604|202605,202604
v16|SMPL003|202605|202606,202605
v17|SMPL001|202604|202605,202604
v17|SMPL001|202605|202606,202605
v17|SMPL002|202604|202605,202604
v17|SMPL002|202605|202606,202605
v17|SMPL003|202604|202605,202604
v17|SMPL003|202605|202606,202605
v18|SMPL001|202604|202605,202604
v18|SMPL001|202605|202606,202605
v18|SMPL002|202604|202605,202604
v18|SMPL002|202605|202606,202605
v18|SMPL003|202604|202605,202604
v18|SMPL003|202605|202606,202605
v19|SMPL001|202604|202605,202604
v19|SMPL001|202605|202606,202605
v19|SMPL002|202604|202605,202604
v19|SMPL002|202605|202606,202605
v19|SMPL003|202604|202605,202604
v19|SMPL003|202605|202606,202605
v20|SMPL001|202604|202605,202604
v20|SMPL001|202605|202606,202605
v20|SMPL002|202604|202605,202604
v20|SMPL002|202605|202606,202605
v20|SMPL003|202604|202605,202604
v20|SMPL003|202605|202606,202605
