from_id,to_id
v1|SMPL001|202604|202605,v1
v1|SMPL001|202605|202606,v1
v1|SMPL002|202604|202605,v1
v1|SMPL002|202605|202606,v1
v1|SMPL003|202604|202605,v1
v1|SMPL003|202605|202606,v1
v2|SMPL001|202604|202605,v2
v2|SMPL001|202605|202606,v2
v2|SMPL002|202604|202605,v2
v2|SMPL002|202605|202606,v2
v2|SMPL003|202604|202605,v2
v2|SMPL003|202605|202606,v2
v3|SMPL001|202604|202605,v3
v3|SMPL001|202605|202606,v3
v3|SMPL002|202604|202605,v3
v3|SMPL002|202605|202606,v3
v3|SMPL003|202604|202605,v3
v3|SMPL003|202605|202606,v3
v4|SMPL001|202604|202605,v4
v4|SMPL001|202605|202606,v4
v4|SMPL002|202604|202605,v4
v4|SMPL002|202605|202606,v4
v4|SMPL003|202604|202605,v4
v4|SMPL003|202605|202606,v4
v5|SMPL001|202604|202605,v5
v5|SMPL001|202605|202606,v5
v5|SMPL002|202604|202605,v5
v5|SMPL002|202605|202606,v5
v5|SMPL003|202604|202605,v5
v5|SMPL003|202605|202606,v5
v6|SMPL001|202604|202605,v6
v6|SMPL001|202605|202606,v6
v6|SMPL002|202604|202605,v6
v6|SMPL002|202605|202606,v6
v6|SMPL003|202604|202605,v6
v6|SMPL003|202605|202606,v6
v7|SMPL001|202604|202605,v7
v7|SMPL001|202605|202606,v7
v7|SMPL002|202604|202605,v7
v7|SMPL002|202605|202606,v7
v7|SMPL003|202604|202605,v7
v7|SMPL003|202605|202606,v7
v8|SMPL001|202604|202605,v8
v8|SMPL001|202605|202606,v8
v8|SMPL002|202604|202605,v8
v8|SMPL002|202605|202606,v8
v8|SMPL003|202604|202605,v8
v8|SMPL003|202605|202606,v8
v9|SMPL001|202604|202605,v9
v9|SMPL001|202605|202606,v9
v9|SMPL002|202604|202605,v9
v9|SMPL002|202605|202606,v9
v9|SMPL003|202604|202605,v9
v9|SMPL003|202605|202606,v9
v10|SMPL001|202604|202605,v10
v10|SMPL001|202605|202606,v10
v10|SMPL002|202604|202605,v10
v10|SMPL002|202605|202606,v10
v10|SMPL003|202604|202605,v10
v10|SMPL003|202605|202606,v10
v11|SMPL001|202604|202605,v11
v11|SMPL001|202605|202606,v11
v11|SMPL002|202604|202605,v11
v11|SMPL002|202605|202606,v11
v11|SMPL003|202604|202605,v11
v11|SMPL003|202605|202606,v11
v12|SMPL001|202604|202605,v12
v12|SMPL001|202605|202606,v12
v12|SMPL002|202604|202605,v12
v12|SMPL002|202605|202606,v12
v12|SMPL003|202604|202605,v12
v12|SMPL003|202605|202606,v12
v13|SMPL001|202604|202605,v13
v13|SMPL001|202605|202606,v13
v13|SMPL002|202604|202605,v13
v13|SMPL002|202605|202606,v13
v13|SMPL003|202604|202605,v13
v13|SMPL003|202605|202606,v13
v14|SMPL001|202604|202605,v14
v14|SMPL001|202605|202606,v14
v14|SMPL002|202604|202605,v14
v14|SMPL002|202605|202606,v14
v14|SMPL003|202604|202605,v14
v14|SMPL003|202605|202606,v14
v15|SMPL001|202604|202605,v15
v15|SMPL001|202605|202606,v15
v15|SMPL002|202604|202605,v15
v15|SMPL002|202605|202606,v15
v15|SMPL003|202604|202605,v15
v15|SMPL003|202605|202606,v15
v16|SMPL001|202604|202605,v16
v16|SMPL001|202605|202606,v16
v16|SMPL002|202604|202605,v16
v16|SMPL002|202605|202606,v16
v16|SMPL003|202604|202605,v16
v16|SMPL003|202605|202606,v16
v17|SMPL001|202604|202605,v17
v17|SMPL001|202605|202606,v17
v17|SMPL002|202604|202605,v17
v17|SMPL002|202605|202606,v17
v17|SMPL003|202604|202605,v17
v17|SMPL003|202605|202606,v17
v18|SMPL001|202604|202605,v18
v18|SMPL001|202605|202606,v18
v18|SMPL002|202604|202605,v18
v18|SMPL002|202605|202606,v18
v18|SMPL003|202604|202605,v18
v18|SMPL003|202605|202606,v18
v19|SMPL001|202604|202605,v19
v19|SMPL001|202605|202606,v19
v19|SMPL002|202604|202605,v19
v19|SMPL002|202605|202606,v19
v19|SMPL003|202604|202605,v19
v19|SMPL003|202605|202606,v19
v20|SMPL001|202604|202605,v20
v20|SMPL001|202605|202606,v20
v20|SMPL002|202604|202605,v20
v20|SMPL002|202605|202606,v20
v20|SMPL003|202604|202605,v20
v20|SMPL003|202605|202606,v20
v21|SMPL001|202604|202605,v21
v21|SMPL001|202605|202606,v21
v21|SMPL002|202604|202605,v21
v21|SMPL002|202605|202606,v21
v21|SMPL003|202604|202605,v21
v21|SMPL003|202605|202606,v21
v22|SMPL001|202604|202605,v22
v22|SMPL001|202605|202606,v22
v22|SMPL001|202606|202607,v22
v23|SMPL002|202604|202605,v23
v23|SMPL002|202605|202606,v23
v23|SMPL002|202606|202607,v23
v24|SMPL003|202604|202605,v24
v24|SMPL003|202605|202606,v24
v24|SMPL003|202606|202607,v24
