from_id,to_id
SMPL001|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,nonrec_structured_products__structured_products
SMPL001|202604|202605|rec_trails__mac|TIMING|1,rec_trails__mac
SMPL001|202604|202605|rec_managed__unified_managed_account|VOLUME|1,rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|LOST_ACCOUNT|3,rec_managed__unified_managed_account
SMPL001|202604|202605|rec_trails__mutual_funds|DEAL_SIZE|1,rec_trails__mutual_funds
SMPL001|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|4,rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|MIX|5,rec_managed__unified_managed_account
SMPL001|202604|202605|rec_trails__mutual_funds|VOLUME|2,rec_trails__mutual_funds
SMPL001|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,nonrec_equities_and_options__equities
SMPL001|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,rec_managed__jpmcap
SMPL001|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,rec_managed__jpmcap
SMPL001|202604|202605|rec_managed__jpmcap|MIX|3,rec_managed__jpmcap
SMPL001|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,rec_managed__advisory
SMPL001|202604|202605|rec_managed__advisory|DEAL_SIZE|2,rec_managed__advisory
SMPL001|202604|202605|rec_managed__advisory|MIX|3,rec_managed__advisory
SMPL001|202604|202605|rec_trails__annuities|CLAWBACK|1,rec_trails__annuities
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|ELIGIBILITY|1,nonrec_mutual_funds__mutual_funds
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|MIX|2,nonrec_mutual_funds__mutual_funds
SMPL001|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|3,rec_trails__mutual_funds
SMPL001|202604|202605|rec_trails__mutual_funds|MIX|4,rec_trails__mutual_funds
SMPL001|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,rec_cash_management__money_market_funds
SMPL001|202604|202605|rec_cash_management__money_market_funds|MIX|2,rec_cash_management__money_market_funds
SMPL001|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,nonrec_equities_and_options__equities
SMPL001|202604|202605|rec_trails__annuities|BILLABLE_DAYS|2,rec_trails__annuities
SMPL001|202604|202605|rec_trails__annuities|MIX|3,rec_trails__annuities
SMPL001|202604|202605|nonrec_equities_and_options__equities|ELIGIBILITY|3,nonrec_equities_and_options__equities
SMPL001|202604|202605|nonrec_equities_and_options__equities|MIX|4,nonrec_equities_and_options__equities
SMPL001|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1,nonrec_structured_products__structured_products
SMPL001|202605|202606|rec_trails__mac|TIMING|1,rec_trails__mac
SMPL001|202605|202606|rec_managed__unified_managed_account|HOUSEHOLD|1,rec_managed__unified_managed_account
SMPL001|202605|202606|rec_managed__unified_managed_account|MIX|2,rec_managed__unified_managed_account
SMPL001|202605|202606|rec_managed__unified_managed_account|DEAL_SIZE|3,rec_managed__unified_managed_account
SMPL001|202605|202606|rec_managed__unified_managed_account|NEW_ACCOUNT|4,rec_managed__unified_managed_account
SMPL001|202605|202606|rec_trails__mutual_funds|DEAL_SIZE|1,rec_trails__mutual_funds
SMPL001|202605|202606|rec_trails__mutual_funds|VOLUME|2,rec_trails__mutual_funds
SMPL001|202605|202606|rec_managed__unified_managed_account|BILLABLE_DAYS|5,rec_managed__unified_managed_account
SMPL001|202605|202606|nonrec_equities_and_options__equities|VOLUME|1,nonrec_equities_and_options__equities
SMPL001|202605|202606|rec_managed__jpmcap|BILLABLE_DAYS|1,rec_managed__jpmcap
SMPL001|202605|202606|rec_managed__jpmcap|DEAL_SIZE|2,rec_managed__jpmcap
SMPL001|202605|202606|rec_managed__jpmcap|MIX|3,rec_managed__jpmcap
SMPL001|202605|202606|rec_trails__annuities|CLAWBACK|1,rec_trails__annuities
SMPL001|202605|202606|rec_managed__advisory|BILLABLE_DAYS|1,rec_managed__advisory
SMPL001|202605|202606|rec_managed__advisory|DEAL_SIZE|2,rec_managed__advisory
SMPL001|202605|202606|rec_managed__advisory|MIX|3,rec_managed__advisory
SMPL001|202605|202606|nonrec_equities_and_options__equities|DEAL_SIZE|2,nonrec_equities_and_options__equities
SMPL001|202605|202606|rec_trails__mutual_funds|BILLABLE_DAYS|3,rec_trails__mutual_funds
SMPL001|202605|202606|rec_trails__mutual_funds|MIX|4,rec_trails__mutual_funds
SMPL001|202605|202606|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,rec_cash_management__money_market_funds
SMPL001|202605|202606|rec_cash_management__money_market_funds|MIX|2,rec_cash_management__money_market_funds
SMPL001|202605|202606|rec_trails__annuities|BILLABLE_DAYS|2,rec_trails__annuities
SMPL001|202605|202606|rec_trails__annuities|MIX|3,rec_trails__annuities
SMPL001|202605|202606|nonrec_equities_and_options__equities|ELIGIBILITY|3,nonrec_equities_and_options__equities
SMPL001|202605|202606|nonrec_equities_and_options__equities|MIX|4,nonrec_equities_and_options__equities
SMPL001|202606|202607|nonrec_structured_products__structured_products|ONE_TIME|1,nonrec_structured_products__structured_products
SMPL001|202606|202607|rec_trails__mac|TIMING|1,rec_trails__mac
SMPL001|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1,rec_managed__unified_managed_account
SMPL001|202606|202607|rec_cash_management__money_market_funds|FEE_RATE|1,rec_cash_management__money_market_funds
SMPL001|202606|202607|rec_cash_management__money_market_funds|DEAL_SIZE|2,rec_cash_management__money_market_funds
SMPL001|202606|202607|rec_cash_management__money_market_funds|MIX|3,rec_cash_management__money_market_funds
SMPL001|202606|202607|rec_trails__mutual_funds|DEAL_SIZE|1,rec_trails__mutual_funds
SMPL001|202606|202607|rec_trails__mutual_funds|VOLUME|2,rec_trails__mutual_funds
SMPL001|202606|202607|rec_trails__annuities|CLAWBACK|1,rec_trails__annuities
SMPL001|202606|202607|nonrec_equities_and_options__equities|DEAL_SIZE|1,nonrec_equities_and_options__equities
SMPL001|202606|202607|nonrec_equities_and_options__equities|ELIGIBILITY|2,nonrec_equities_and_options__equities
SMPL001|202606|202607|nonrec_equities_and_options__equities|MIX|3,nonrec_equities_and_options__equities
SMPL002|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,nonrec_structured_products__structured_products
SMPL002|202604|202605|rec_managed__unified_managed_account|VOLUME|1,rec_managed__unified_managed_account
SMPL002|202604|202605|rec_trails__mac|TIMING|1,rec_trails__mac
SMPL002|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,rec_managed__unified_managed_account
SMPL002|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|3,rec_managed__unified_managed_account
SMPL002|202604|202605|rec_managed__unified_managed_account|MIX|4,rec_managed__unified_managed_account
SMPL002|202604|202605|rec_trails__mutual_funds|DEAL_SIZE|1,rec_trails__mutual_funds
SMPL002|202604|202605|rec_trails__mutual_funds|VOLUME|2,rec_trails__mutual_funds
SMPL002|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,nonrec_equities_and_options__equities
SMPL002|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,rec_managed__jpmcap
SMPL002|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,rec_managed__jpmcap
SMPL002|202604|202605|rec_managed__jpmcap|MIX|3,rec_managed__jpmcap
SMPL002|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,rec_managed__advisory
SMPL002|202604|202605|rec_managed__advisory|DEAL_SIZE|2,rec_managed__advisory
SMPL002|202604|202605|rec_managed__advisory|MIX|3,rec_managed__advisory
SMPL002|202604|202605|rec_trails__annuities|CLAWBACK|1,rec_trails__annuities
SMPL002|202604|202605|nonrec_mutual_funds__mutual_funds|ELIGIBILITY|1,nonrec_mutual_funds__mutual_funds
SMPL002|202604|202605|nonrec_mutual_funds__mutual_funds|MIX|2,nonrec_mutual_funds__mutual_funds
SMPL002|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|3,rec_trails__mutual_funds
SMPL002|202604|202605|rec_trails__mutual_funds|MIX|4,rec_trails__mutual_funds
SMPL002|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,rec_cash_management__money_market_funds
SMPL002|202604|202605|rec_cash_management__money_market_funds|MIX|2,rec_cash_management__money_market_funds
SMPL002|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,nonrec_equities_and_options__equities
SMPL002|202604|202605|rec_trails__annuities|BILLABLE_DAYS|2,rec_trails__annuities
SMPL002|202604|202605|rec_trails__annuities|MIX|3,rec_trails__annuities
SMPL002|202604|202605|nonrec_equities_and_options__equities|ELIGIBILITY|3,nonrec_equities_and_options__equities
SMPL002|202604|202605|nonrec_equities_and_options__equities|MIX|4,nonrec_equities_and_options__equities
SMPL002|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1,nonrec_structured_products__structured_products
SMPL002|202605|202606|rec_trails__mac|TIMING|1,rec_trails__mac
SMPL002|202605|202606|rec_managed__unified_managed_account|VOLUME|1,rec_managed__unified_managed_account
SMPL002|202605|202606|rec_managed__unified_managed_account|NEW_ACCOUNT|2,rec_managed__unified_managed_account
SMPL002|202605|202606|rec_managed__unified_managed_account|MIX|3,rec_managed__unified_managed_account
SMPL002|202605|202606|rec_managed__unified_managed_account|DEAL_SIZE|4,rec_managed__unified_managed_account
SMPL002|202605|202606|rec_managed__unified_managed_account|FEE_RATE|5,rec_managed__unified_managed_account
SMPL002|202605|202606|rec_trails__mutual_funds|VOLUME|1,rec_trails__mutual_funds
SMPL002|202605|202606|rec_managed__unified_managed_account|BILLABLE_DAYS|6,rec_managed__unified_managed_account
