from_id,to_id
SMPL001|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,ONE_TIME
SMPL001|202604|202605|rec_trails__mac|TIMING|1,TIMING
SMPL001|202604|202605|rec_managed__unified_managed_account|VOLUME|1,VOLUME
SMPL001|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202604|202605|rec_managed__unified_managed_account|LOST_ACCOUNT|3,LOST_ACCOUNT
SMPL001|202604|202605|rec_trails__mutual_funds|DEAL_SIZE|1,DEAL_SIZE
SMPL001|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|4,BILLABLE_DAYS
SMPL001|202604|202605|rec_managed__unified_managed_account|MIX|5,MIX
SMPL001|202604|202605|rec_trails__mutual_funds|VOLUME|2,VOLUME
SMPL001|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,VOLUME
SMPL001|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202604|202605|rec_managed__jpmcap|MIX|3,MIX
SMPL001|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202604|202605|rec_managed__advisory|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202604|202605|rec_managed__advisory|MIX|3,MIX
SMPL001|202604|202605|rec_trails__annuities|CLAWBACK|1,CLAWBACK
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|ELIGIBILITY|1,ELIGIBILITY
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|MIX|2,MIX
SMPL001|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|3,BILLABLE_DAYS
SMPL001|202604|202605|rec_trails__mutual_funds|MIX|4,MIX
SMPL001|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202604|202605|rec_cash_management__money_market_funds|MIX|2,MIX
SMPL001|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202604|202605|rec_trails__annuities|BILLABLE_DAYS|2,BILLABLE_DAYS
SMPL001|202604|202605|rec_trails__annuities|MIX|3,MIX
SMPL001|202604|202605|nonrec_equities_and_options__equities|ELIGIBILITY|3,ELIGIBILITY
SMPL001|202604|202605|nonrec_equities_and_options__equities|MIX|4,MIX
SMPL001|202604|202605|__TOTAL__|MARKET|1,MARKET
SMPL001|202604|202605|__TOTAL__|NET_FLOW|2,NET_FLOW
SMPL001|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1,ONE_TIME
SMPL001|202605|202606|rec_trails__mac|TIMING|1,TIMING
SMPL001|202605|202606|rec_managed__unified_managed_account|HOUSEHOLD|1,HOUSEHOLD
SMPL001|202605|202606|rec_managed__unified_managed_account|MIX|2,MIX
SMPL001|202605|202606|rec_managed__unified_managed_account|DEAL_SIZE|3,DEAL_SIZE
SMPL001|202605|202606|rec_managed__unified_managed_account|NEW_ACCOUNT|4,NEW_ACCOUNT
SMPL001|202605|202606|rec_trails__mutual_funds|DEAL_SIZE|1,DEAL_SIZE
SMPL001|202605|202606|rec_trails__mutual_funds|VOLUME|2,VOLUME
SMPL001|202605|202606|rec_managed__unified_managed_account|BILLABLE_DAYS|5,BILLABLE_DAYS
SMPL001|202605|202606|nonrec_equities_and_options__equities|VOLUME|1,VOLUME
SMPL001|202605|202606|rec_managed__jpmcap|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202605|202606|rec_managed__jpmcap|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202605|202606|rec_managed__jpmcap|MIX|3,MIX
SMPL001|202605|202606|rec_trails__annuities|CLAWBACK|1,CLAWBACK
SMPL001|202605|202606|rec_managed__advisory|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202605|202606|rec_managed__advisory|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202605|202606|rec_managed__advisory|MIX|3,MIX
SMPL001|202605|202606|nonrec_equities_and_options__equities|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202605|202606|rec_trails__mutual_funds|BILLABLE_DAYS|3,BILLABLE_DAYS
SMPL001|202605|202606|rec_trails__mutual_funds|MIX|4,MIX
SMPL001|202605|202606|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL001|202605|202606|rec_cash_management__money_market_funds|MIX|2,MIX
SMPL001|202605|202606|rec_trails__annuities|BILLABLE_DAYS|2,BILLABLE_DAYS
SMPL001|202605|202606|rec_trails__annuities|MIX|3,MIX
SMPL001|202605|202606|nonrec_equities_and_options__equities|ELIGIBILITY|3,ELIGIBILITY
SMPL001|202605|202606|nonrec_equities_and_options__equities|MIX|4,MIX
SMPL001|202605|202606|__TOTAL__|MARKET|1,MARKET
SMPL001|202605|202606|__TOTAL__|NET_FLOW|2,NET_FLOW
SMPL001|202606|202607|nonrec_structured_products__structured_products|ONE_TIME|1,ONE_TIME
SMPL001|202606|202607|rec_trails__mac|TIMING|1,TIMING
SMPL001|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1,BASELINE_LIMITED
SMPL001|202606|202607|rec_cash_management__money_market_funds|FEE_RATE|1,FEE_RATE
SMPL001|202606|202607|rec_cash_management__money_market_funds|DEAL_SIZE|2,DEAL_SIZE
SMPL001|202606|202607|rec_cash_management__money_market_funds|MIX|3,MIX
SMPL001|202606|202607|rec_trails__mutual_funds|DEAL_SIZE|1,DEAL_SIZE
SMPL001|202606|202607|rec_trails__mutual_funds|VOLUME|2,VOLUME
SMPL001|202606|202607|rec_trails__annuities|CLAWBACK|1,CLAWBACK
SMPL001|202606|202607|nonrec_equities_and_options__equities|DEAL_SIZE|1,DEAL_SIZE
SMPL001|202606|202607|nonrec_equities_and_options__equities|ELIGIBILITY|2,ELIGIBILITY
SMPL001|202606|202607|nonrec_equities_and_options__equities|MIX|3,MIX
SMPL001|202606|202607|__TOTAL__|MARKET|1,MARKET
SMPL001|202606|202607|__TOTAL__|NET_FLOW|2,NET_FLOW
SMPL002|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,ONE_TIME
SMPL002|202604|202605|rec_managed__unified_managed_account|VOLUME|1,VOLUME
SMPL002|202604|202605|rec_trails__mac|TIMING|1,TIMING
SMPL002|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|3,BILLABLE_DAYS
SMPL002|202604|202605|rec_managed__unified_managed_account|MIX|4,MIX
SMPL002|202604|202605|rec_trails__mutual_funds|DEAL_SIZE|1,DEAL_SIZE
SMPL002|202604|202605|rec_trails__mutual_funds|VOLUME|2,VOLUME
SMPL002|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,VOLUME
SMPL002|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202604|202605|rec_managed__jpmcap|MIX|3,MIX
SMPL002|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202604|202605|rec_managed__advisory|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202604|202605|rec_managed__advisory|MIX|3,MIX
SMPL002|202604|202605|rec_trails__annuities|CLAWBACK|1,CLAWBACK
SMPL002|202604|202605|nonrec_mutual_funds__mutual_funds|ELIGIBILITY|1,ELIGIBILITY
SMPL002|202604|202605|nonrec_mutual_funds__mutual_funds|MIX|2,MIX
SMPL002|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|3,BILLABLE_DAYS
SMPL002|202604|202605|rec_trails__mutual_funds|MIX|4,MIX
SMPL002|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202604|202605|rec_cash_management__money_market_funds|MIX|2,MIX
SMPL002|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202604|202605|rec_trails__annuities|BILLABLE_DAYS|2,BILLABLE_DAYS
SMPL002|202604|202605|rec_trails__annuities|MIX|3,MIX
SMPL002|202604|202605|nonrec_equities_and_options__equities|ELIGIBILITY|3,ELIGIBILITY
SMPL002|202604|202605|nonrec_equities_and_options__equities|MIX|4,MIX
SMPL002|202604|202605|__TOTAL__|MARKET|1,MARKET
SMPL002|202604|202605|__TOTAL__|NET_FLOW|2,NET_FLOW
SMPL002|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1,ONE_TIME
SMPL002|202605|202606|rec_trails__mac|TIMING|1,TIMING
SMPL002|202605|202606|rec_managed__unified_managed_account|VOLUME|1,VOLUME
SMPL002|202605|202606|rec_managed__unified_managed_account|NEW_ACCOUNT|2,NEW_ACCOUNT
SMPL002|202605|202606|rec_managed__unified_managed_account|MIX|3,MIX
SMPL002|202605|202606|rec_managed__unified_managed_account|DEAL_SIZE|4,DEAL_SIZE
SMPL002|202605|202606|rec_managed__unified_managed_account|FEE_RATE|5,FEE_RATE
SMPL002|202605|202606|rec_trails__mutual_funds|VOLUME|1,VOLUME
SMPL002|202605|202606|rec_managed__unified_managed_account|BILLABLE_DAYS|6,BILLABLE_DAYS
SMPL002|202605|202606|rec_trails__mutual_funds|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202605|202606|rec_trails__mutual_funds|MIX|3,MIX
SMPL002|202605|202606|rec_trails__mutual_funds|INHERITANCE|4,INHERITANCE
SMPL002|202605|202606|nonrec_equities_and_options__equities|VOLUME|1,VOLUME
SMPL002|202605|202606|rec_managed__jpmcap|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202605|202606|rec_managed__jpmcap|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202605|202606|rec_managed__jpmcap|MIX|3,MIX
SMPL002|202605|202606|rec_managed__advisory|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202605|202606|rec_managed__advisory|DEAL_SIZE|2,DEAL_SIZE
SMPL002|202605|202606|rec_managed__advisory|MIX|3,MIX
SMPL002|202605|202606|rec_trails__annuities|CLAWBACK|1,CLAWBACK
SMPL002|202605|202606|rec_trails__mutual_funds|BILLABLE_DAYS|5,BILLABLE_DAYS
SMPL002|202605|202606|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,BILLABLE_DAYS
SMPL002|202605|202606|rec_cash_management__money_market_funds|MIX|2,MIX
