from_id,to_id
SMPL001|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,SMPL001|202604|202605|nonrec_structured_products__structured_products
SMPL001|202604|202605|rec_trails__mac|TIMING|1,SMPL001|202604|202605|rec_trails__mac
SMPL001|202604|202605|rec_managed__unified_managed_account|VOLUME|1,SMPL001|202604|202605|rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|LOST_ACCOUNT|3,SMPL001|202604|202605|rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|4,SMPL001|202604|202605|rec_managed__unified_managed_account
SMPL001|202604|202605|rec_managed__unified_managed_account|MIX|5,SMPL001|202604|202605|rec_managed__unified_managed_account
SMPL001|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,SMPL001|202604|202605|nonrec_equities_and_options__equities
SMPL001|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_managed__jpmcap
SMPL001|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__jpmcap
SMPL001|202604|202605|rec_managed__jpmcap|MIX|3,SMPL001|202604|202605|rec_managed__jpmcap
SMPL001|202604|202605|rec_trails__mutual_funds|CLAWBACK|1,SMPL001|202604|202605|rec_trails__mutual_funds
SMPL001|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_managed__advisory
SMPL001|202604|202605|rec_managed__advisory|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__advisory
SMPL001|202604|202605|rec_managed__advisory|MIX|3,SMPL001|202604|202605|rec_managed__advisory
SMPL001|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|2,SMPL001|202604|202605|rec_trails__mutual_funds
SMPL001|202604|202605|rec_trails__mutual_funds|MIX|3,SMPL001|202604|202605|rec_trails__mutual_funds
SMPL001|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_cash_management__money_market_funds
SMPL001|202604|202605|rec_cash_management__money_market_funds|MIX|2,SMPL001|202604|202605|rec_cash_management__money_market_funds
SMPL001|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,SMPL001|202604|202605|nonrec_equities_and_options__equities
SMPL001|202604|202605|rec_trails__annuities|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_trails__annuities
SMPL001|202604|202605|rec_trails__annuities|MIX|2,SMPL001|202604|202605|rec_trails__annuities
SMPL001|202604|202605|__TOTAL__|MARKET|1,SMPL001|202604|202605|__TOTAL__
