from_id,to_id
v7|SMPL001|202604|202605|j1,v7|SMPL001|202604|202605
v7|SMPL001|202605|202606|j1,v7|SMPL001|202605|202606
v7|SMPL002|202604|202605|j1,v7|SMPL002|202604|202605
v7|SMPL002|202605|202606|j1,v7|SMPL002|202605|202606
v7|SMPL003|202604|202605|j1,v7|SMPL003|202604|202605
v7|SMPL003|202605|202606|j1,v7|SMPL003|202605|202606
v8|SMPL001|202604|202605|j1,v8|SMPL001|202604|202605
v8|SMPL001|202605|202606|j1,v8|SMPL001|202605|202606
v8|SMPL002|202604|202605|j1,v8|SMPL002|202604|202605
v8|SMPL002|202605|202606|j1,v8|SMPL002|202605|202606
v8|SMPL003|202604|202605|j1,v8|SMPL003|202604|202605
v8|SMPL003|202605|202606|j1,v8|SMPL003|202605|202606
v9|SMPL001|202604|202605|j1,v9|SMPL001|202604|202605
v9|SMPL001|202605|202606|j1,v9|SMPL001|202605|202606
v9|SMPL002|202604|202605|j1,v9|SMPL002|202604|202605
v9|SMPL002|202605|202606|j1,v9|SMPL002|202605|202606
v9|SMPL003|202604|202605|j1,v9|SMPL003|202604|202605
v9|SMPL003|202605|202606|j1,v9|SMPL003|202605|202606
v10|SMPL001|202604|202605|j1,v10|SMPL001|202604|202605
v10|SMPL001|202605|202606|j1,v10|SMPL001|202605|202606
v10|SMPL002|202604|202605|j1,v10|SMPL002|202604|202605
v10|SMPL002|202605|202606|j1,v10|SMPL002|202605|202606
v10|SMPL003|202604|202605|j1,v10|SMPL003|202604|202605
v10|SMPL003|202605|202606|j1,v10|SMPL003|202605|202606
v11|SMPL001|202604|202605|j1,v11|SMPL001|202604|202605
v11|SMPL001|202605|202606|j1,v11|SMPL001|202605|202606
v11|SMPL002|202604|202605|j1,v11|SMPL002|202604|202605
v11|SMPL002|202605|202606|j1,v11|SMPL002|202605|202606
v11|SMPL003|202604|202605|j1,v11|SMPL003|202604|202605
v11|SMPL003|202605|202606|j1,v11|SMPL003|202605|202606
v12|SMPL001|202604|202605|j1,v12|SMPL001|202604|202605
v12|SMPL001|202605|202606|j1,v12|SMPL001|202605|202606
v12|SMPL002|202604|202605|j1,v12|SMPL002|202604|202605
v12|SMPL002|202605|202606|j1,v12|SMPL002|202605|202606
v12|SMPL003|202604|202605|j1,v12|SMPL003|202604|202605
v12|SMPL003|202605|202606|j1,v12|SMPL003|202605|202606
v13|SMPL001|202604|202605|j1,v13|SMPL001|202604|202605
v13|SMPL001|202605|202606|j1,v13|SMPL001|202605|202606
v13|SMPL002|202604|202605|j1,v13|SMPL002|202604|202605
v13|SMPL002|202605|202606|j1,v13|SMPL002|202605|202606
v13|SMPL003|202604|202605|j1,v13|SMPL003|202604|202605
v13|SMPL003|202605|202606|j1,v13|SMPL003|202605|202606
v14|SMPL001|202604|202605|j1,v14|SMPL001|202604|202605
v14|SMPL001|202605|202606|j1,v14|SMPL001|202605|202606
v14|SMPL002|202604|202605|j1,v14|SMPL002|202604|202605
v14|SMPL002|202605|202606|j1,v14|SMPL002|202605|202606
v14|SMPL003|202604|202605|j1,v14|SMPL003|202604|202605
v14|SMPL003|202605|202606|j1,v14|SMPL003|202605|202606
v15|SMPL001|202604|202605|j1,v15|SMPL001|202604|202605
v15|SMPL001|202605|202606|j1,v15|SMPL001|202605|202606
v15|SMPL002|202604|202605|j1,v15|SMPL002|202604|202605
v15|SMPL002|202605|202606|j1,v15|SMPL002|202605|202606
v15|SMPL003|202604|202605|j1,v15|SMPL003|202604|202605
v15|SMPL003|202605|202606|j1,v15|SMPL003|202605|202606
v16|SMPL001|202604|202605|j1,v16|SMPL001|202604|202605
v16|SMPL001|202605|202606|j1,v16|SMPL001|202605|202606
v16|SMPL002|202604|202605|j1,v16|SMPL002|202604|202605
v16|SMPL002|202605|202606|j1,v16|SMPL002|202605|202606
v16|SMPL003|202604|202605|j1,v16|SMPL003|202604|202605
v16|SMPL003|202605|202606|j1,v16|SMPL003|202605|202606
v17|SMPL001|202604|202605|j1,v17|SMPL001|202604|202605
v17|SMPL001|202605|202606|j1,v17|SMPL001|202605|202606
v17|SMPL002|202604|202605|j1,v17|SMPL002|202604|202605
v17|SMPL002|202605|202606|j1,v17|SMPL002|202605|202606
v17|SMPL003|202604|202605|j1,v17|SMPL003|202604|202605
v17|SMPL003|202605|202606|j1,v17|SMPL003|202605|202606
v18|SMPL001|202604|202605|j1,v18|SMPL001|202604|202605
v18|SMPL001|202605|202606|j1,v18|SMPL001|202605|202606
v18|SMPL002|202604|202605|j1,v18|SMPL002|202604|202605
v18|SMPL002|202605|202606|j1,v18|SMPL002|202605|202606
v18|SMPL003|202604|202605|j1,v18|SMPL003|202604|202605
v18|SMPL003|202605|202606|j1,v18|SMPL003|202605|202606
v19|SMPL001|202604|202605|j1,v19|SMPL001|202604|202605
v19|SMPL001|202605|202606|j1,v19|SMPL001|202605|202606
v19|SMPL002|202604|202605|j1,v19|SMPL002|202604|202605
v19|SMPL002|202605|202606|j1,v19|SMPL002|202605|202606
v19|SMPL003|202604|202605|j1,v19|SMPL003|202604|202605
v19|SMPL003|202605|202606|j1,v19|SMPL003|202605|202606
v20|SMPL001|202604|202605|j1,v20|SMPL001|202604|202605
v20|SMPL001|202605|202606|j1,v20|SMPL001|202605|202606
v20|SMPL002|202604|202605|j1,v20|SMPL002|202604|202605
v20|SMPL002|202605|202606|j1,v20|SMPL002|202605|202606
v20|SMPL003|202604|202605|j1,v20|SMPL003|202604|202605
v20|SMPL003|202605|202606|j1,v20|SMPL003|202605|202606
v21|SMPL001|202604|202605|j1,v21|SMPL001|202604|202605
