from_id,to_id
rec_managed__unified_managed_account,rec_managed
rec_managed__jpmcap,rec_managed
rec_managed__advisory,rec_managed
rec_managed__mutual_funds_advisory_portfolio,rec_managed
rec_managed__customized_bond_portfolio,rec_managed
rec_trails__mutual_funds,rec_trails
rec_trails__annuities,rec_trails
rec_trails__mac,rec_trails
rec_trails__529,rec_trails
rec_cash_management__money_market_funds,rec_cash_management
rec_cash_management__premium_deposits,rec_cash_management
nonrec_cash_management__brokered_cds,nonrec_cash_management
nonrec_annuities__fixed,nonrec_annuities
nonrec_annuities__variable,nonrec_annuities
nonrec_mutual_funds__mutual_funds,nonrec_mutual_funds
nonrec_equities_and_options__equities,nonrec_equities_and_options
nonrec_equities_and_options__equity_syndicate,nonrec_equities_and_options
nonrec_equities_and_options__options,nonrec_equities_and_options
nonrec_fixed_income__corporate_bonds,nonrec_fixed_income
nonrec_fixed_income__municipal_bonds,nonrec_fixed_income
nonrec_fixed_income__government_bonds,nonrec_fixed_income
nonrec_fixed_income__fixed_syndicate,nonrec_fixed_income
nonrec_fixed_income__other,nonrec_fixed_income
nonrec_structured_products__structured_products,nonrec_structured_products
nonrec_insurance__insurance,nonrec_insurance
nonrec_lending__securities_based_lending,nonrec_lending
nonrec_lending__margin,nonrec_lending
nonrec_lending__fully_paid_lending,nonrec_lending
nonrec_referrals_and_revenue_share__situational_partnership,nonrec_referrals_and_revenue_share
nonrec_referrals_and_revenue_share__private_bank_referral,nonrec_referrals_and_revenue_share
nonrec_referrals_and_revenue_share__everyday_401k,nonrec_referrals_and_revenue_share
nonrec_referrals_and_revenue_share__other,nonrec_referrals_and_revenue_share
nonrec_referrals_and_revenue_share__donor_advised_funds,nonrec_referrals_and_revenue_share
nonrec_referrals_and_revenue_share__defined_contribution_advisory,nonrec_referrals_and_revenue_share
nonrec_alternative_investments__alternative_investments,nonrec_alternative_investments
