from_id,to_id
2de88476d8e6|1,2de88476d8e6
2de88476d8e6|2,2de88476d8e6
2de88476d8e6|3,2de88476d8e6
2de88476d8e6|4,2de88476d8e6
37bb41f3d98b|1,37bb41f3d98b
37bb41f3d98b|2,37bb41f3d98b
287935e8b493|1,287935e8b493
287935e8b493|2,287935e8b493
ac6f236c5ef9|1,ac6f236c5ef9
ac6f236c5ef9|2,ac6f236c5ef9
e6db5948f716|1,e6db5948f716
e6db5948f716|2,e6db5948f716
b7a8fdbe4a7b|1,b7a8fdbe4a7b
b7a8fdbe4a7b|2,b7a8fdbe4a7b
71408789d1de|1,71408789d1de
71408789d1de|2,71408789d1de
21b7c3a1bfec|1,21b7c3a1bfec
21b7c3a1bfec|2,21b7c3a1bfec
acf1328c3dc3|1,acf1328c3dc3
acf1328c3dc3|2,acf1328c3dc3
a66c7869e28c|1,a66c7869e28c
a66c7869e28c|2,a66c7869e28c
6a83bd9c21bc|1,6a83bd9c21bc
6a83bd9c21bc|2,6a83bd9c21bc
1a2116dc3bf8|1,1a2116dc3bf8
1a2116dc3bf8|2,1a2116dc3bf8
