from_id,to_id
SMPL001|202604|nonrec_cash_management__brokered_cds,SMPL001
SMPL001|202604|nonrec_equities_and_options__equities,SMPL001
SMPL001|202604|nonrec_mutual_funds__mutual_funds,SMPL001
SMPL001|202604|rec_cash_management__money_market_funds,SMPL001
SMPL001|202604|rec_managed__advisory,SMPL001
SMPL001|202604|rec_managed__jpmcap,SMPL001
SMPL001|202604|rec_managed__unified_managed_account,SMPL001
SMPL001|202604|rec_trails__annuities,SMPL001
SMPL001|202604|rec_trails__mac,SMPL001
SMPL001|202604|rec_trails__mutual_funds,SMPL001
SMPL001|202605|nonrec_cash_management__brokered_cds,SMPL001
SMPL001|202605|nonrec_equities_and_options__equities,SMPL001
SMPL001|202605|nonrec_mutual_funds__mutual_funds,SMPL001
SMPL001|202605|nonrec_structured_products__structured_products,SMPL001
SMPL001|202605|rec_cash_management__money_market_funds,SMPL001
SMPL001|202605|rec_managed__advisory,SMPL001
SMPL001|202605|rec_managed__jpmcap,SMPL001
SMPL001|202605|rec_managed__unified_managed_account,SMPL001
SMPL001|202605|rec_trails__annuities,SMPL001
SMPL001|202605|rec_trails__mutual_funds,SMPL001
SMPL001|202606|nonrec_cash_management__brokered_cds,SMPL001
SMPL001|202606|nonrec_equities_and_options__equities,SMPL001
SMPL001|202606|nonrec_mutual_funds__mutual_funds,SMPL001
SMPL001|202606|rec_cash_management__money_market_funds,SMPL001
SMPL001|202606|rec_managed__advisory,SMPL001
SMPL001|202606|rec_managed__jpmcap,SMPL001
SMPL001|202606|rec_managed__unified_managed_account,SMPL001
SMPL001|202606|rec_trails__annuities,SMPL001
SMPL001|202606|rec_trails__mac,SMPL001
SMPL001|202606|rec_trails__mutual_funds,SMPL001
SMPL002|202604|nonrec_cash_management__brokered_cds,SMPL002
SMPL002|202604|nonrec_equities_and_options__equities,SMPL002
SMPL002|202604|nonrec_mutual_funds__mutual_funds,SMPL002
SMPL002|202604|rec_cash_management__money_market_funds,SMPL002
SMPL002|202604|rec_managed__advisory,SMPL002
SMPL002|202604|rec_managed__jpmcap,SMPL002
SMPL002|202604|rec_managed__unified_managed_account,SMPL002
SMPL002|202604|rec_trails__annuities,SMPL002
SMPL002|202604|rec_trails__mac,SMPL002
SMPL002|202604|rec_trails__mutual_funds,SMPL002
SMPL002|202605|nonrec_cash_management__brokered_cds,SMPL002
SMPL002|202605|nonrec_equities_and_options__equities,SMPL002
SMPL002|202605|nonrec_mutual_funds__mutual_funds,SMPL002
SMPL002|202605|nonrec_structured_products__structured_products,SMPL002
SMPL002|202605|rec_cash_management__money_market_funds,SMPL002
SMPL002|202605|rec_managed__advisory,SMPL002
SMPL002|202605|rec_managed__jpmcap,SMPL002
SMPL002|202605|rec_managed__unified_managed_account,SMPL002
SMPL002|202605|rec_trails__annuities,SMPL002
SMPL002|202605|rec_trails__mutual_funds,SMPL002
SMPL002|202606|nonrec_cash_management__brokered_cds,SMPL002
SMPL002|202606|nonrec_equities_and_options__equities,SMPL002
SMPL002|202606|nonrec_mutual_funds__mutual_funds,SMPL002
SMPL002|202606|rec_cash_management__money_market_funds,SMPL002
SMPL002|202606|rec_managed__advisory,SMPL002
SMPL002|202606|rec_managed__jpmcap,SMPL002
SMPL002|202606|rec_managed__unified_managed_account,SMPL002
SMPL002|202606|rec_trails__annuities,SMPL002
SMPL002|202606|rec_trails__mac,SMPL002
SMPL002|202606|rec_trails__mutual_funds,SMPL002
SMPL003|202604|nonrec_annuities__variable,SMPL003
SMPL003|202604|nonrec_cash_management__brokered_cds,SMPL003
SMPL003|202604|nonrec_equities_and_options__equities,SMPL003
SMPL003|202604|nonrec_mutual_funds__mutual_funds,SMPL003
SMPL003|202604|rec_cash_management__money_market_funds,SMPL003
SMPL003|202604|rec_managed__advisory,SMPL003
SMPL003|202604|rec_managed__jpmcap,SMPL003
SMPL003|202604|rec_managed__unified_managed_account,SMPL003
SMPL003|202604|rec_trails__annuities,SMPL003
SMPL003|202604|rec_trails__mac,SMPL003
SMPL003|202604|rec_trails__mutual_funds,SMPL003
SMPL003|202605|nonrec_cash_management__brokered_cds,SMPL003
SMPL003|202605|nonrec_equities_and_options__equities,SMPL003
SMPL003|202605|nonrec_mutual_funds__mutual_funds,SMPL003
SMPL003|202605|nonrec_structured_products__structured_products,SMPL003
SMPL003|202605|rec_cash_management__money_market_funds,SMPL003
SMPL003|202605|rec_managed__advisory,SMPL003
SMPL003|202605|rec_managed__jpmcap,SMPL003
SMPL003|202605|rec_managed__unified_managed_account,SMPL003
SMPL003|202605|rec_trails__annuities,SMPL003
SMPL003|202605|rec_trails__mutual_funds,SMPL003
SMPL003|202606|nonrec_cash_management__brokered_cds,SMPL003
SMPL003|202606|nonrec_equities_and_options__equities,SMPL003
SMPL003|202606|nonrec_mutual_funds__mutual_funds,SMPL003
SMPL003|202606|rec_cash_management__money_market_funds,SMPL003
SMPL003|202606|rec_managed__advisory,SMPL003
SMPL003|202606|rec_managed__jpmcap,SMPL003
SMPL003|202606|rec_managed__unified_managed_account,SMPL003
SMPL003|202606|rec_trails__annuities,SMPL003
SMPL003|202606|rec_trails__mac,SMPL003
SMPL003|202606|rec_trails__mutual_funds,SMPL003
