from_id,to_id
UMA|FEE,rec_managed__unified_managed_account
JPMCAP|FEE,rec_managed__jpmcap
ADV|FEE,rec_managed__advisory
MFT|12B1,rec_trails__mutual_funds
ANNU|TRL,rec_trails__annuities
MAC|QFEE,rec_trails__mac
STRP|SYND,nonrec_structured_products__structured_products
EQ|COMM,nonrec_equities_and_options__equities
CASH|SWP,rec_cash_management__money_market_funds
CASH|CD,nonrec_cash_management__brokered_cds
MF|COMM,nonrec_mutual_funds__mutual_funds
ANNU|COMM,nonrec_annuities__variable
UMA|PAYS,rec_managed__unified_managed_account
