from_id,to_id
SMPLTRD00001|1,SMPL001
SMPLTRD00002|1,SMPL001
SMPLTRD00003|1,SMPL001
SMPLTRD00004|1,SMPL001
SMPLTRD00005|1,SMPL001
SMPLTRD00006|1,SMPL001
SMPLTRD00007|1,SMPL001
SMPLTRD00008|1,SMPL001
SMPLTRD00009|1,SMPL001
SMPLTRD00010|1,SMPL001
SMPLTRD00011|1,SMPL001
SMPLTRD00012|1,SMPL001
SMPLTRD00013|1,SMPL001
SMPLTRD00014|1,SMPL001
SMPLTRD00015|1,SMPL001
SMPLTRD00016|1,SMPL001
SMPLTRD00017|1,SMPL001
SMPLTRD00018|1,SMPL001
SMPLTRD00019|1,SMPL001
SMPLTRD00020|1,SMPL001
SMPLTRD00021|1,SMPL001
SMPLTRD00022|1,SMPL001
SMPLTRD00023|1,SMPL001
SMPLTRD00024|1,SMPL001
SMPLTRD00025|1,SMPL001
SMPLTRD00026|1,SMPL001
SMPLTRD00027|1,SMPL001
SMPLTRD00028|1,SMPL001
SMPLTRD00029|1,SMPL001
SMPLTRD00030|1,SMPL001
SMPLTRD00031|1,SMPL001
SMPLTRD00032|1,SMPL001
SMPLTRD00033|1,SMPL001
SMPLTRD00034|1,SMPL001
SMPLTRD00035|1,SMPL001
SMPLTRD00036|1,SMPL001
SMPLTRD00037|1,SMPL001
SMPLTRD00038|1,SMPL001
SMPLTRD00039|1,SMPL001
SMPLTRD00040|1,SMPL001
SMPLTRD00041|1,SMPL001
SMPLTRD00042|1,SMPL001
SMPLTRD00043|1,SMPL001
SMPLTRD00044|1,SMPL001
SMPLTRD00045|1,SMPL001
SMPLTRD00046|1,SMPL001
SMPLTRD00047|1,SMPL001
SMPLTRD00048|1,SMPL001
SMPLTRD00049|1,SMPL001
SMPLTRD00050|1,SMPL001
SMPLTRD00051|1,SMPL001
SMPLTRD00052|1,SMPL001
SMPLTRD00053|1,SMPL001
SMPLTRD00054|1,SMPL001
SMPLTRD00055|1,SMPL001
SMPLTRD00056|1,SMPL001
SMPLTRD00057|1,SMPL001
SMPLTRD00058|1,SMPL001
SMPLTRD00059|1,SMPL001
SMPLTRD00060|1,SMPL001
SMPLTRD00061|1,SMPL001
SMPLTRD00062|1,SMPL001
SMPLTRD00063|1,SMPL001
SMPLTRD00064|1,SMPL001
SMPLTRD00065|1,SMPL001
SMPLTRD00066|1,SMPL001
SMPLTRD00067|1,SMPL001
SMPLTRD00068|1,SMPL001
SMPLTRD00069|1,SMPL001
SMPLTRD00070|1,SMPL001
SMPLTRD00071|1,SMPL001
SMPLTRD00072|1,SMPL001
SMPLTRD00073|1,SMPL001
SMPLTRD00074|1,SMPL001
SMPLTRD00075|1,SMPL001
SMPLTRD00076|1,SMPL001
SMPLTRD00077|1,SMPL001
SMPLTRD00078|1,SMPL001
SMPLTRD00079|1,SMPL001
SMPLTRD00080|1,SMPL001
SMPLTRD00081|1,SMPL001
SMPLTRD00082|1,SMPL001
SMPLTRD00083|1,SMPL001
SMPLTRD00084|1,SMPL001
SMPLTRD00085|1,SMPL001
SMPLTRD00086|1,SMPL001
SMPLTRD00087|1,SMPL001
SMPLTRD00088|1,SMPL001
SMPLTRD00089|1,SMPL001
SMPLTRD00090|1,SMPL001
SMPLTRD00091|1,SMPL001
SMPLTRD00092|1,SMPL001
SMPLTRD00093|1,SMPL001
SMPLTRD00094|1,SMPL001
SMPLTRD00095|1,SMPL001
SMPLTRD00096|1,SMPL001
SMPLTRD00097|1,SMPL001
SMPLTRD00098|1,SMPL001
SMPLTRD00099|1,SMPL001
SMPLTRD00100|1,SMPL001
SMPLTRD00101|1,SMPL001
SMPLTRD00102|1,SMPL001
SMPLTRD00103|1,SMPL001
SMPLTRD00104|1,SMPL001
SMPLTRD00105|1,SMPL001
SMPLTRD00106|1,SMPL001
SMPLTRD00107|1,SMPL001
SMPLTRD00108|1,SMPL001
SMPLTRD00109|1,SMPL001
SMPLTRD00110|1,SMPL001
SMPLTRD00111|1,SMPL001
SMPLTRD00112|1,SMPL001
SMPLTRD00113|1,SMPL001
SMPLTRD00114|1,SMPL001
SMPLTRD00115|1,SMPL001
SMPLTRD00116|1,SMPL001
SMPLTRD00117|1,SMPL001
