from_id,to_id
SMPLTRD00001|1,UMA|FEE
SMPLTRD00002|1,UMA|FEE
SMPLTRD00003|1,UMA|FEE
SMPLTRD00004|1,UMA|FEE
SMPLTRD00005|1,UMA|FEE
SMPLTRD00006|1,UMA|FEE
SMPLTRD00007|1,UMA|PAYS
SMPLTRD00008|1,JPMCAP|FEE
SMPLTRD00009|1,ADV|FEE
SMPLTRD00010|1,MFT|12B1
SMPLTRD00011|1,MFT|12B1
SMPLTRD00012|1,MAC|QFEE
SMPLTRD00013|1,ANNU|TRL
SMPLTRD00014|1,MF|COMM
SMPLTRD00015|1,CASH|CD
SMPLTRD00016|1,EQ|COMM
SMPLTRD00017|1,EQ|COMM
SMPLTRD00018|1,EQ|COMM
SMPLTRD00019|1,EQ|COMM
SMPLTRD00020|1,EQ|COMM
SMPLTRD00021|1,EQ|COMM
SMPLTRD00022|1,EQ|COMM
SMPLTRD00023|1,EQ|COMM
SMPLTRD00024|1,CASH|SWP
SMPLTRD00025|1,UMA|FEE
SMPLTRD00026|1,UMA|FEE
SMPLTRD00027|1,UMA|FEE
SMPLTRD00028|1,UMA|FEE
SMPLTRD00029|1,UMA|PAYS
SMPLTRD00030|1,JPMCAP|FEE
SMPLTRD00031|1,ADV|FEE
SMPLTRD00032|1,MFT|12B1
SMPLTRD00033|1,MFT|12B1
SMPLTRD00034|1,MFT|12B1
SMPLTRD00035|1,STRP|SYND
SMPLTRD00036|1,STRP|SYND
SMPLTRD00037|1,STRP|SYND
SMPLTRD00038|1,ANNU|TRL
SMPLTRD00039|1,MF|COMM
SMPLTRD00040|1,CASH|CD
SMPLTRD00041|1,EQ|COMM
SMPLTRD00042|1,EQ|COMM
SMPLTRD00043|1,EQ|COMM
SMPLTRD00044|1,EQ|COMM
SMPLTRD00045|1,EQ|COMM
SMPLTRD00046|1,CASH|SWP
SMPLTRD00047|1,UMA|FEE
SMPLTRD00048|1,UMA|FEE
SMPLTRD00049|1,UMA|FEE
SMPLTRD00050|1,UMA|FEE
SMPLTRD00051|1,UMA|FEE
SMPLTRD00052|1,UMA|PAYS
SMPLTRD00053|1,JPMCAP|FEE
SMPLTRD00054|1,ADV|FEE
SMPLTRD00055|1,MFT|12B1
SMPLTRD00056|1,MFT|12B1
SMPLTRD00057|1,MFT|12B1
SMPLTRD00058|1,MFT|12B1
SMPLTRD00059|1,MFT|12B1
SMPLTRD00060|1,MAC|QFEE
SMPLTRD00061|1,ANNU|TRL
SMPLTRD00062|1,MF|COMM
SMPLTRD00063|1,CASH|CD
SMPLTRD00064|1,EQ|COMM
SMPLTRD00065|1,EQ|COMM
SMPLTRD00066|1,EQ|COMM
SMPLTRD00067|1,EQ|COMM
