from_id,to_id
SMPLTRD00001|1,__NONE__
SMPLTRD00002|1,__NONE__
SMPLTRD00003|1,__NONE__
SMPLTRD00004|1,__NONE__
SMPLTRD00005|1,__NONE__
SMPLTRD00006|1,__NONE__
SMPLTRD00007|1,__NONE__
SMPLTRD00008|1,__NONE__
SMPLTRD00009|1,__NONE__
SMPLTRD00010|1,__NONE__
SMPLTRD00011|1,__NONE__
SMPLTRD00012|1,__NONE__
SMPLTRD00013|1,__NONE__
SMPLTRD00014|1,__NONE__
SMPLTRD00015|1,__NONE__
SMPLTRD00016|1,__NONE__
SMPLTRD00017|1,91
SMPLTRD00018|1,__NONE__
SMPLTRD00019|1,__NONE__
SMPLTRD00020|1,__NONE__
SMPLTRD00021|1,__NONE__
SMPLTRD00022|1,__NONE__
SMPLTRD00023|1,__NONE__
SMPLTRD00024|1,__NONE__
SMPLTRD00025|1,92
SMPLTRD00026|1,__NONE__
SMPLTRD00027|1,__NONE__
SMPLTRD00028|1,__NONE__
SMPLTRD00029|1,__NONE__
SMPLTRD00030|1,__NONE__
SMPLTRD00031|1,__NONE__
SMPLTRD00032|1,__NONE__
SMPLTRD00033|1,__NONE__
SMPLTRD00034|1,__NONE__
SMPLTRD00035|1,__NONE__
SMPLTRD00036|1,__NONE__
SMPLTRD00037|1,__NONE__
SMPLTRD00038|1,__NONE__
SMPLTRD00039|1,__NONE__
SMPLTRD00040|1,__NONE__
SMPLTRD00041|1,__NONE__
SMPLTRD00042|1,__NONE__
SMPLTRD00043|1,__NONE__
SMPLTRD00044|1,__NONE__
SMPLTRD00045|1,91
SMPLTRD00046|1,__NONE__
SMPLTRD00047|1,__NONE__
SMPLTRD00048|1,__NONE__
SMPLTRD00049|1,__NONE__
SMPLTRD00050|1,92
SMPLTRD00051|1,92
SMPLTRD00052|1,__NONE__
SMPLTRD00053|1,__NONE__
SMPLTRD00054|1,__NONE__
SMPLTRD00055|1,9E
SMPLTRD00056|1,__NONE__
SMPLTRD00057|1,__NONE__
SMPLTRD00058|1,__NONE__
SMPLTRD00059|1,__NONE__
SMPLTRD00060|1,__NONE__
SMPLTRD00061|1,__NONE__
SMPLTRD00062|1,__NONE__
SMPLTRD00063|1,__NONE__
SMPLTRD00064|1,__NONE__
SMPLTRD00065|1,__NONE__
SMPLTRD00066|1,__NONE__
SMPLTRD00067|1,__NONE__
SMPLTRD00068|1,__NONE__
SMPLTRD00069|1,__NONE__
SMPLTRD00070|1,__NONE__
SMPLTRD00071|1,__NONE__
SMPLTRD00072|1,__NONE__
SMPLTRD00073|1,__NONE__
