from_id,to_id
SMPLTRD00001|1,SMPLACCT-1101
SMPLTRD00002|1,SMPLACCT-1102
SMPLTRD00003|1,SMPLACCT-1103
SMPLTRD00004|1,SMPLACCT-1104
SMPLTRD00005|1,SMPLACCT-1101
SMPLTRD00006|1,SMPLACCT-1105
SMPLTRD00007|1,SMPLACCT-1106
SMPLTRD00008|1,SMPLACCT-1107
SMPLTRD00009|1,SMPLACCT-1107
SMPLTRD00010|1,SMPLACCT-1102
SMPLTRD00011|1,SMPLACCT-1106
SMPLTRD00012|1,SMPLACCT-1107
SMPLTRD00013|1,SMPLACCT-1108
SMPLTRD00014|1,SMPLACCT-1106
SMPLTRD00015|1,SMPLACCT-1107
SMPLTRD00016|1,SMPLACCT-1108
SMPLTRD00017|1,SMPLACCT-1106
SMPLTRD00018|1,SMPLACCT-1107
SMPLTRD00019|1,SMPLACCT-1108
SMPLTRD00020|1,SMPLACCT-1101
SMPLTRD00021|1,SMPLACCT-1102
SMPLTRD00022|1,SMPLACCT-1103
SMPLTRD00023|1,SMPLACCT-1101
SMPLTRD00024|1,SMPLACCT-1105
SMPLTRD00025|1,SMPLACCT-1106
SMPLTRD00026|1,SMPLACCT-1107
SMPLTRD00027|1,SMPLACCT-1107
SMPLTRD00028|1,SMPLACCT-1107
SMPLTRD00029|1,SMPLACCT-1101
SMPLTRD00030|1,SMPLACCT-1101
SMPLTRD00031|1,SMPLACCT-1101
SMPLTRD00032|1,SMPLACCT-1106
SMPLTRD00033|1,SMPLACCT-1107
SMPLTRD00034|1,SMPLACCT-1108
SMPLTRD00035|1,SMPLACCT-1106
SMPLTRD00036|1,SMPLACCT-1107
SMPLTRD00037|1,SMPLACCT-1108
SMPLTRD00038|1,SMPLACCT-1101
SMPLTRD00039|1,SMPLACCT-1102
SMPLTRD00040|1,SMPLACCT-1103
SMPLTRD00041|1,SMPLACCT-1109
SMPLTRD00042|1,SMPLACCT-1101
SMPLTRD00043|1,SMPLACCT-1105
SMPLTRD00044|1,SMPLACCT-1106
SMPLTRD00045|1,SMPLACCT-1107
SMPLTRD00046|1,SMPLACCT-1107
SMPLTRD00047|1,SMPLACCT-1107
SMPLTRD00048|1,SMPLACCT-1107
SMPLTRD00049|1,SMPLACCT-1107
SMPLTRD00050|1,SMPLACCT-1102
SMPLTRD00051|1,SMPLACCT-1106
SMPLTRD00052|1,SMPLACCT-1107
SMPLTRD00053|1,SMPLACCT-1108
SMPLTRD00054|1,SMPLACCT-1106
SMPLTRD00055|1,SMPLACCT-1107
SMPLTRD00056|1,SMPLACCT-1108
SMPLTRD00057|1,SMPLACCT-1106
SMPLTRD00058|1,SMPLACCT-1107
SMPLTRD00059|1,SMPLACCT-1108
SMPLTRD00060|1,SMPLACCT-1106
SMPLTRD00061|1,SMPLACCT-1107
SMPLTRD00062|1,SMPLACCT-1108
SMPLTRD00063|1,SMPLACCT-2101
SMPLTRD00064|1,SMPLACCT-2102
SMPLTRD00065|1,SMPLACCT-2103
SMPLTRD00066|1,SMPLACCT-2104
SMPLTRD00067|1,SMPLACCT-2105
SMPLTRD00068|1,SMPLACCT-2106
SMPLTRD00069|1,SMPLACCT-2107
SMPLTRD00070|1,SMPLACCT-2107
SMPLTRD00071|1,SMPLACCT-2107
SMPLTRD00072|1,SMPLACCT-2110
SMPLTRD00073|1,SMPLACCT-2102
SMPLTRD00074|1,SMPLACCT-2106
SMPLTRD00075|1,SMPLACCT-2107
SMPLTRD00076|1,SMPLACCT-2108
SMPLTRD00077|1,SMPLACCT-2106
SMPLTRD00078|1,SMPLACCT-2107
SMPLTRD00079|1,SMPLACCT-2108
SMPLTRD00080|1,SMPLACCT-2106
SMPLTRD00081|1,SMPLACCT-2107
SMPLTRD00082|1,SMPLACCT-2108
SMPLTRD00083|1,SMPLACCT-2106
SMPLTRD00084|1,SMPLACCT-2108
SMPLTRD00085|1,SMPLACCT-2101
SMPLTRD00086|1,SMPLACCT-2102
SMPLTRD00087|1,SMPLACCT-2103
SMPLTRD00088|1,SMPLACCT-2105
SMPLTRD00089|1,SMPLACCT-2106
SMPLTRD00090|1,SMPLACCT-2107
SMPLTRD00091|1,SMPLACCT-2107
SMPLTRD00092|1,SMPLACCT-2107
SMPLTRD00093|1,SMPLACCT-2107
SMPLTRD00094|1,SMPLACCT-2110
SMPLTRD00095|1,SMPLACCT-2101
SMPLTRD00096|1,SMPLACCT-2101
SMPLTRD00097|1,SMPLACCT-2101
SMPLTRD00098|1,SMPLACCT-2106
SMPLTRD00099|1,SMPLACCT-2107
SMPLTRD00100|1,SMPLACCT-2108
SMPLTRD00101|1,SMPLACCT-2106
SMPLTRD00102|1,SMPLACCT-2107
