from_id,to_id
SMPLTRD00001|1,UMA|FEE
SMPLTRD00002|1,UMA|FEE
SMPLTRD00003|1,UMA|FEE
SMPLTRD00004|1,UMA|FEE
SMPLTRD00005|1,UMA|FEE
SMPLTRD00006|1,UMA|PAYS
SMPLTRD00007|1,JPMCAP|FEE
SMPLTRD00008|1,ADV|FEE
SMPLTRD00009|1,MFT|12B1
SMPLTRD00010|1,MFT|12B1
SMPLTRD00011|1,ALTS|QFEE
SMPLTRD00012|1,EQ|COMM
SMPLTRD00013|1,EQ|COMM
SMPLTRD00014|1,EQ|COMM
SMPLTRD00015|1,EQ|COMM
SMPLTRD00016|1,EQ|COMM
SMPLTRD00017|1,EQ|COMM
SMPLTRD00018|1,EQ|COMM
SMPLTRD00019|1,EQ|COMM
SMPLTRD00020|1,CASH|SWP
SMPLTRD00021|1,UMA|FEE
SMPLTRD00022|1,UMA|FEE
SMPLTRD00023|1,UMA|FEE
SMPLTRD00024|1,UMA|FEE
SMPLTRD00025|1,UMA|PAYS
SMPLTRD00026|1,JPMCAP|FEE
SMPLTRD00027|1,ADV|FEE
SMPLTRD00028|1,MFT|12B1
SMPLTRD00029|1,MFT|12B1
SMPLTRD00030|1,MFT|12B1
SMPLTRD00031|1,STRP|SYND
SMPLTRD00032|1,STRP|SYND
SMPLTRD00033|1,STRP|SYND
SMPLTRD00034|1,EQ|COMM
SMPLTRD00035|1,EQ|COMM
SMPLTRD00036|1,EQ|COMM
SMPLTRD00037|1,EQ|COMM
SMPLTRD00038|1,EQ|COMM
SMPLTRD00039|1,CASH|SWP
SMPLTRD00040|1,UMA|FEE
SMPLTRD00041|1,UMA|FEE
SMPLTRD00042|1,UMA|FEE
SMPLTRD00043|1,UMA|FEE
SMPLTRD00044|1,UMA|PAYS
SMPLTRD00045|1,JPMCAP|FEE
SMPLTRD00046|1,ADV|FEE
SMPLTRD00047|1,MFT|12B1
SMPLTRD00048|1,MFT|12B1
SMPLTRD00049|1,MFT|12B1
SMPLTRD00050|1,MFT|12B1
SMPLTRD00051|1,MFT|12B1
SMPLTRD00052|1,ALTS|QFEE
SMPLTRD00053|1,EQ|COMM
SMPLTRD00054|1,EQ|COMM
SMPLTRD00055|1,EQ|COMM
SMPLTRD00056|1,EQ|COMM
SMPLTRD00057|1,EQ|COMM
SMPLTRD00058|1,EQ|COMM
SMPLTRD00059|1,EQ|COMM
SMPLTRD00060|1,EQ|COMM
SMPLTRD00061|1,EQ|COMM
SMPLTRD00062|1,EQ|COMM
SMPLTRD00063|1,EQ|COMM
SMPLTRD00064|1,CASH|SWP
SMPLTRD00065|1,UMA|FEE
SMPLTRD00066|1,UMA|FEE
SMPLTRD00067|1,UMA|FEE
