driver_id,change_id,cause_id,group_id,contribution_amt,contribution_pct,direction,rank,inputs_json,data_source
SMPL001|202604|202605|nonrec_structured_products__structured_products|ONE_TIME|1,SMPL001|202604|202605|nonrec_structured_products__structured_products,ONE_TIME,nonrec_structured_products__structured_products,40500.0,138.77,UP,1,"{""file_keys"": [""twhs""], ""formula"": ""to_one_time - from_one_time"", ""from_one_time"": 0, ""from_txn_count"": 0, ""to_one_time"": 40500.0, ""to_txn_count"": 3}",REAL
SMPL001|202604|202605|rec_trails__mac|TIMING|1,SMPL001|202604|202605|rec_trails__mac,TIMING,rec_trails__mac,-7000.0,-23.99,DOWN,2,"{""billing_cycle"": ""quarterly"", ""formula"": ""to_revenue - from_revenue (quarterly billing falls in one month only)"", ""from_revenue"": 7000.0, ""to_revenue"": 0}",REAL
SMPL001|202604|202605|rec_managed__unified_managed_account|VOLUME|1,SMPL001|202604|202605|rec_managed__unified_managed_account,VOLUME,rec_managed__unified_managed_account,-5076.0,-17.39,DOWN,3,"{""formula"": ""(to_txn_count - from_txn_count) * from_avg_txn_value"", ""from_avg_txn_value"": 5076.0, ""from_txn_count"": 5, ""to_txn_count"": 4}",REAL
SMPL001|202604|202605|rec_managed__unified_managed_account|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__unified_managed_account,DEAL_SIZE,rec_managed__unified_managed_account,3464.18,11.87,UP,4,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 5076.0, ""from_txn_count"": 5, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 5942.05, ""to_txn_count"": 4}",REAL
SMPL001|202604|202605|rec_managed__unified_managed_account|LOST_ACCOUNT|3,SMPL001|202604|202605|rec_managed__unified_managed_account,LOST_ACCOUNT,rec_managed__unified_managed_account,-1600.0,-5.48,DOWN,5,"{""account_absence_months"": 2, ""accounts"": [""SMPLACCT-1110""], ""accounts_present_only_in_from_month"": [""SMPLACCT-1110""], ""classification_rule"": ""Accounts with no recurring billing activity for 2 consecutive months (ACCOUNT_ABSENCE_MONTHS=2), evaluated at advisor level across recurring product lines; one-time and adjustment transactions (rev_nature ONE_TIME/ADJUSTMENT) never count as presence"", ""formula"": ""-(sum(credited_amt of recurring-nature rows of accounts with no recurring activity for ACCOUNT_ABSENCE_MONTHS consecutive months after the from-month)); recurring-class groups only"", ""from_month_revenue_by_account"": {""SMPLACCT-1110"": 1600.0}, ""from_month_revenue_of_lost_accounts"": 1600.0, ""months_confirmed_quiet_after"": [""202605"", ""202606""], ""presence_rev_natures_excluded"": [""ADJUSTMENT"", ""ONE_TIME""], ""txn_count"": 1}",REAL
SMPL001|202604|202605|rec_trails__mutual_funds|DEAL_SIZE|1,SMPL001|202604|202605|rec_trails__mutual_funds,DEAL_SIZE,rec_trails__mutual_funds,-1175.0,-4.03,DOWN,6,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 1010.0, ""from_txn_count"": 2, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 618.33, ""to_txn_count"": 3}",REAL
SMPL001|202604|202605|rec_managed__unified_managed_account|BILLABLE_DAYS|4,SMPL001|202604|202605|rec_managed__unified_managed_account,BILLABLE_DAYS,rec_managed__unified_managed_account,-1153.64,-3.95,DOWN,7,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 25380.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_managed__unified_managed_account|MIX|5,SMPL001|202604|202605|rec_managed__unified_managed_account,MIX,rec_managed__unified_managed_account,1153.64,3.95,UP,8,"{""change_amt"": -3211.82, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -5519.1}",DERIVED
SMPL001|202604|202605|rec_trails__mutual_funds|VOLUME|2,SMPL001|202604|202605|rec_trails__mutual_funds,VOLUME,rec_trails__mutual_funds,1010.0,3.46,UP,9,"{""formula"": ""(to_txn_count - from_txn_count) * from_avg_txn_value"", ""from_avg_txn_value"": 1010.0, ""from_txn_count"": 2, ""to_txn_count"": 3}",REAL
SMPL001|202604|202605|nonrec_equities_and_options__equities|VOLUME|1,SMPL001|202604|202605|nonrec_equities_and_options__equities,VOLUME,nonrec_equities_and_options__equities,-418.94,-1.44,DOWN,10,"{""formula"": ""(to_txn_count - from_txn_count) * from_avg_txn_value"", ""from_avg_txn_value"": 139.65, ""from_txn_count"": 7, ""to_txn_count"": 4}",REAL
